# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0    105     41     43      1      0      0      0      0      0   3201   1980      0      0      1      1      0     80     31 
    1    129     42     43      0      0      0      0      0      0   3201   1980      0      0      1      1      0     77     32 
    0    126     41     43      0      0      0      0      0      0   3201   1980      0      0      4      4      0      0      1 
    1    653     53     62    100    100      0      0      0      0   3201    975      8      0  41589  41590      0     31     14 
    0     89     39     43      0      0      0      0      0      0   3201    405      0      0      4      4      0      0      1 
    1    698     52     64    100    100      0      0      0      0   3201   1440    100      0  41589  41590      0     32     15 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      1 
    1    699     54     65    100    100      0      0      0      0   3201   1650     98      0  41589  41590      0     32     15 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      1 
    1    700     56     66    100    100      0      0      0      0   3201   1845    100      0  41589  41590      0     31     14 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      0 
    1    699     56     67    100    100      0      0      0      0   3201   1845    100      0  41589  41590      0     31     15 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      1 
    1    699     58     68    100    100      0      0      0      0   3201   1905    100      0  41589  41590      0     32     15 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      1 
    1    699     59     68    100    100      0      0      0      0   3201   1920    100      0  41589  41590      0     31     15 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      1 
    1    698     59     68    100    100      0      0      0      0   3201   1890    100      0  41589  41590      0     32     15 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      0 
    1    698     59     69    100    100      0      0      0      0   3201   1815    100      0  41589  41590      0     32     16 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      0 
    1    698     60     69    100    100      0      0      0      0   3201   1725    100      0  41589  41590      0     32     15 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      0 
    1    699     60     70    100    100      0      0      0      0   3201   1710    100      0  41589  41590      0     31     16 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      0 
    1    699     60     70    100    100      0      0      0      0   3201   1695    100      0  41589  41590      0     32     15 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      0 
    1    699     60     70    100    100      0      0      0      0   3201   1695    100      0  41589  41590      0     31     15 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      0 
    1    699     60     70    100    100      0      0      0      0   3201   1695    100      0  41589  41590      0     31     15 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      0 
    1    699     61     71    100    100      0      0      0      0   3201   1740    100      0  41589  41590      0     31     15 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      0 
    1    699     61     71    100    100      0      0      0      0   3201   1770    100      0  41589  41590      0     31     14 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      0 
    1    699     61     71    100    100      0      0      0      0   3201   1770    100      0  41589  41590      0     30     15 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      4      4      0      0      0 
    1    699     62     71    100    100      0      0      0      0   3201   1770    100      0  41589  41590      0     31      5 
