# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0    196     45     46     16      2      0      0      0      0   3201   1980      0      0      1      1      0     80     32 
    1    178     47     47      1      0      0      0      0      0   3201   1980      0      0      1      1      0     77     31 
    0    196     45     48    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    190     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    214     46     48    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    200     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    214     46     48    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    200     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    214     46     48    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    200     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    214     46     48    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    200     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    214     46     48    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    200     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    214     46     48    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      1 
    1    200     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    214     46     48    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      1 
    1    200     48     49      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    214     46     48    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      1 
    1    200     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    214     46     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    200     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    214     46     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    200     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    214     46     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    200     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      1 
    0    214     46     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    200     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      1 
    0    214     46     48    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    200     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    214     46     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    200     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    214     46     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    200     48     48      0     11      0      0      0      0   3201   1980      0      0  61985  61986      0      0      0 
    0    214     46     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
