# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0     78     39     43      0      0      0      0      0      0   3201    345      0      0      1      1      0     17    243 
    1    519     55     56     40      4      0      0      0      0   3201   1965      0      0      1      1      0      0      0 
    0    167     42     45    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
    1    178     53     53      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      0 
    0    212     43     46    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      1 
    1    204     52     52      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      1 
    0    212     43     46    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
    1    203     51     52      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      1 
    0    212     43     46    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
    1    203     51     51      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      1 
    0    213     44     46    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
    1    202     50     51      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      0 
    0    213     44     46    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
    1    202     50     51      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      0 
    0    213     44     47    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
    1    202     50     50      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      0 
    0    213     44     47    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      4      0 
    1    201     49     50      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      0 
    0    213     44     47    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      1      0 
    1    201     49     50      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      0 
    0    213     44     47    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      1 
    1    201     49     50      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      0 
    0    213     44     47    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      1 
    1    201     49     50      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      0 
    0    213     44     47    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      1 
    1    201     49     50      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      0 
    0    213     45     47    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      1 
    1    201     49     49      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      0 
    0    213     45     47    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
    1    201     49     49      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      0 
    0    213     45     47    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
    1    201     49     49      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      1 
    0    213     45     48    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
    1    201     49     49      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      1 
    0    213     45     48    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
    1    201     49     49      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      0 
    0    213     45     48    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
    1    201     48     49      0     11      0      0      0      0   3201   1980      0      0  22379  22380      0      0      0 
    0    213     45     46    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
