# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0    198     46     48     46      5      0      0      0      0   3201   1980      0      0      1      1      0     74     33 
    1    190     50     50      2      0      0      0      0      0   3201   1980      0      0      1      1      0     79     31 
    0    128     45     46      0      0      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    654     60     67    100    100      0      0      0      0   3201   1485     10      0  41608  41609      0     59     42 
    0    203     47     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      1 
    1    693     60     68    100    100      0      0      0      0   3201   1245     79      0 103571 103572      0     32     15 
    0    215     47     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      1 
    1    700     60     70    100    100      0      0      0      0   3201   1470     99      0 103571 103572      0     32     15 
    0    215     47     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      1 
    1    700     61     70    100    100      0      0      0      0   3201   1680    100      0 103571 103572      0     33     16 
    0    215     47     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      1 
    1    700     62     71    100    100      0      0      0      0   3201   1845    100      0 103571 103572      0     32     15 
    0    215     47     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    700     63     71    100    100      0      0      0      0   3201   1905    100      0 103571 103572      0     34     15 
    0    215     47     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    699     64     72    100    100      0      0      0      0   3201   1890    100      0 103571 103572      0     32     15 
    0    215     47     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    699     65     72    100    100      0      0      0      0   3201   1830    100      0 103571 103572      0     32     15 
    0    215     47     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    698     65     72    100    100      0      0      0      0   3201   1710    100      0 103571 103572      0     31     15 
    0    215     47     48    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    698     64     72    100    100      0      0      0      0   3201   1515    100      0 103571 103572      0     32     15 
    0    215     47     50    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    698     64     72    100    100      0      0      0      0   3201   1530    100      0 103571 103572      0     32     15 
    0    215     47     50    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    698     64     72    100    100      0      0      0      0   3201   1590    100      0 103571 103572      0     32     16 
    0    215     47     49    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    699     64     72    100    100      0      0      0      0   3201   1695    100      0 103571 103572      0     32     15 
    0    215     47     50    100     11      0      0      0      0   3201   1980      0      0  61983  61984      0      0      0 
    1    699     65     72    100    100      0      0      0      0   3201   1680    100      0 103571 103572      0     33     15 
