# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0    198     46     49    100     11      0      0      0      0   3201   1980      0      0      1      1      0     80     32 
    1    182     47     47     40      5      0      0      0      0   3201   1980      0      0      1      1      0     79     32 
    0    128     45     46      0      0      0      0      0      0   3201   1980      0      0  22377  22378      0      0      1 
    1    636     57     65    100    100      0      0      0      0   3201   1590     11      0  41608  41609      0     66     43 
    0    193     46     48    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      1      0 
    1    694     57     66    100    100      0      0      0      0   3201   1365     80      0  63965  63966      0     33     14 
    0    214     46     49    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      1 
    1    698     58     67    100    100      0      0      0      0   3201   1485    100      0  63965  63966      0     31     16 
    0    214     47     49    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      1 
    1    699     59     68    100    100      0      0      0      0   3201   1710    100      0  63965  63966      0     31     15 
    0    214     47     49    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      1 
    1    699     60     69    100    100      0      0      0      0   3201   1875    100      0  63965  63966      0     31     15 
    0    214     47     49    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      1 
    1    699     62     69    100    100      0      0      0      0   3201   1935    100      0  63965  63966      0     31     16 
    0    214     47     49    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      1 
    1    700     62     70    100    100      0      0      0      0   3201   1935    100      0  63965  63966      0     31     15 
    0    214     47     49    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
    1    698     63     70    100    100      0      0      0      0   3201   1845    100      0  63965  63966      0     31     15 
    0    214     47     49    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
    1    698     63     70    100    100      0      0      0      0   3201   1725    100      0  63965  63966      0     32     15 
    0    214     47     49    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
    1    698     62     71    100    100      0      0      0      0   3201   1590    100      0  63965  63966      0     31     14 
    0    214     47     49    100     11      0      0      0      0   3201   1980      0      0  22377  22378      0      0      0 
