ts_unix_ms,t_ms,pcie_link_gen,pcie_link_width,pcie_link_ref_GiB_s,pcie_tx_GiB_s,pcie_rx_GiB_s,pcie_total_GiB_s,pcie_tx_util_pct,pcie_rx_util_pct,pcie_total_util_pct,pcie_tx_peak_util_pct,pcie_rx_peak_util_pct,pcie_total_peak_util_pct,pcie_tx_cum_GiB,pcie_rx_cum_GiB,pcie_total_cum_GiB,util_gpu_pct,util_mem_pct,gpu_mem_used_GiB,gpu_mem_total_GiB,gpu_mem_used_pct,sm_clock_mhz,mem_clock_mhz,power_w,cpu_util_pct,cpu_mem_used_GiB,cpu_mem_avail_GiB,cpu_mem_used_pct
1774778620721,0,4,16,29.340386,0.000651,0.000278,0.000930,0.002,0.001,0.003,0.002,0.001,0.003,0.000000,0.000000,0.000000,0.000,0.000,68.567871,80.000000,85.710,1155.000,1593.000,45.830,0.100,23.746857,227.666943,9.400
1774778620764,42,4,16,29.340386,0.000325,0.000233,0.000558,0.001,0.001,0.002,0.002,0.001,0.003,0.000014,0.000010,0.000024,0.000,0.000,68.567871,80.000000,85.710,1155.000,1593.000,45.830,0.100,23.746796,227.667004,9.400
1774778620805,83,4,16,29.340386,0.000837,0.000278,0.001116,0.003,0.001,0.004,0.003,0.001,0.004,0.000051,0.000022,0.000073,0.000,0.000,68.567871,80.000000,85.710,1155.000,1593.000,45.830,0.000,23.749367,227.664433,9.400
1774778620850,128,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.003,0.001,0.004,0.000063,0.000034,0.000097,0.000,0.000,68.567871,80.000000,85.710,1155.000,1593.000,45.830,0.100,23.749367,227.664433,9.400
1774778620892,170,4,16,29.340386,0.000325,0.000325,0.000650,0.001,0.001,0.002,0.003,0.001,0.004,0.000076,0.000048,0.000124,0.000,0.000,68.567871,80.000000,85.710,1155.000,1593.000,46.354,0.000,23.748871,227.664928,9.400
1774778620935,213,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.003,0.001,0.004,0.000088,0.000057,0.000146,0.000,0.000,68.567871,80.000000,85.710,1155.000,1593.000,46.354,0.000,23.748871,227.664928,9.400
1774778620977,255,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.003,0.001,0.004,0.000100,0.000067,0.000167,0.000,0.000,68.567871,80.000000,85.710,1155.000,1593.000,46.354,0.000,23.748451,227.665348,9.400
1774778621019,297,4,16,29.340386,0.000651,0.000278,0.000930,0.002,0.001,0.003,0.003,0.001,0.004,0.000127,0.000079,0.000206,0.000,0.000,68.567871,80.000000,85.710,1155.000,1593.000,45.830,0.100,23.748451,227.665348,9.400
1774778621061,339,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.003,0.001,0.004,0.000139,0.000089,0.000228,0.000,0.000,68.567871,80.000000,85.710,1155.000,1593.000,45.830,0.000,23.748459,227.665340,9.400
1774778621103,381,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.003,0.001,0.004,0.000151,0.000101,0.000252,0.000,0.000,68.567871,80.000000,85.710,1155.000,1593.000,45.830,0.100,23.748215,227.665585,9.400
