ts_unix_ms,t_since_submit_s,inside_request_window,pcie_tx_GiB_s,pcie_rx_GiB_s,pcie_total_GiB_s,pcie_tx_cum_GiB,pcie_rx_cum_GiB,pcie_total_cum_GiB,gpu_mem_used_GiB,util_gpu_pct,cpu_util_pct
1774778640623,-0.145000,0,0.000651,0.000278,0.000930,7.039677,16.292746,23.332423,68.825684,0.000000,0.100000
1774778640665,-0.103000,0,0.000278,0.000233,0.000511,7.039689,16.292755,23.332444,68.825684,0.000000,0.000000
1774778640707,-0.061000,0,0.000278,0.000325,0.000604,7.039700,16.292769,23.332470,68.825684,0.000000,0.000000
1774778640749,-0.019000,0,0.000278,0.000278,0.000557,7.039712,16.292781,23.332493,68.825684,0.000000,0.200000
1774778640791,0.023000,1,0.000278,0.000233,0.000511,7.039724,16.292791,23.332515,68.825684,0.000000,0.300000
1774778640834,0.066000,1,0.000651,0.000278,0.000930,7.039751,16.292802,23.332554,68.825684,0.000000,0.100000
1774778640876,0.108000,1,0.000278,0.000233,0.000511,7.039763,16.292812,23.332575,68.825684,0.000000,0.100000
1774778640918,0.150000,1,0.000325,0.011455,0.011780,7.039778,16.293337,23.333115,68.825684,0.000000,0.100000
1774778640964,0.196000,1,0.000278,0.000233,0.000511,7.039790,16.293347,23.333136,68.825684,0.000000,0.100000
1774778641006,0.238000,1,0.000278,0.000325,0.000604,7.039801,16.293360,23.333162,68.825684,0.000000,0.000000
1774778641048,0.280000,1,1.803692,27.529289,29.332981,7.118703,17.497609,24.616311,68.825684,0.000000,0.400000
1774778641092,0.324000,1,3.373250,35.758922,39.132172,7.296019,19.377288,26.673307,68.825684,0.000000,0.300000
1774778641146,0.378000,1,3.457069,27.972692,31.429762,7.475833,20.832249,28.308082,68.825684,0.000000,0.500000
1774778641196,0.428000,1,0.276044,0.015553,0.291596,7.487721,20.832918,28.320639,68.825684,0.000000,0.200000
1774778641239,0.471000,1,1.482059,0.026217,1.508276,7.550571,20.834030,28.384602,68.825684,35.000000,0.500000
1774778641282,0.514000,1,0.009033,0.026217,0.035250,7.550955,20.835144,28.386099,68.825684,35.000000,0.200000
1774778641324,0.556000,1,0.009871,0.026030,0.035901,7.551398,20.836311,28.387709,68.825684,35.000000,0.300000
1774778641369,0.601000,1,0.009033,0.026915,0.035948,7.551781,20.837453,28.389234,68.825684,35.000000,0.600000
1774778641412,0.644000,1,0.009033,0.027055,0.036088,7.552166,20.838607,28.390773,68.825684,98.000000,0.600000
1774778641454,0.686000,1,0.004097,0.000233,0.004330,7.552339,20.838617,28.390956,68.825684,98.000000,0.400000
1774778641496,0.728000,1,0.000278,0.000278,0.000557,7.552351,20.838628,28.390979,68.825684,98.000000,0.300000
1774778641538,0.770000,1,0.000698,0.000233,0.000931,7.552381,20.838638,28.391019,68.825684,98.000000,0.400000
1774778641581,0.813000,1,0.000278,0.000233,0.000511,7.552392,20.838648,28.391040,68.825684,98.000000,0.000000
1774778641623,0.855000,1,0.000512,0.000278,0.000791,7.552414,20.838660,28.391074,68.825684,66.000000,0.100000
1774778641666,0.898000,1,0.000278,0.000233,0.000511,7.552426,20.838670,28.391096,68.825684,66.000000,0.100000
1774778641708,0.940000,1,0.000278,0.000325,0.000604,7.552438,20.838683,28.391121,68.825684,66.000000,0.000000
1774778641750,0.982000,1,0.000278,0.000233,0.000511,7.552450,20.838693,28.391143,68.825684,66.000000,0.000000
1774778641793,1.025000,1,0.000278,0.000278,0.000557,7.552461,20.838705,28.391166,68.825684,66.000000,0.100000
1774778641835,1.067000,1,0.000651,0.000233,0.000884,7.552489,20.838715,28.391204,68.825684,0.000000,0.000000
1774778641877,1.109000,1,0.000278,0.000233,0.000511,7.552501,20.838725,28.391225,68.825684,0.000000,0.000000
1774778641919,1.151000,1,0.000278,0.000278,0.000557,7.552512,20.838736,28.391249,68.825684,0.000000,0.000000
1774778641961,1.193000,1,0.000278,0.000278,0.000557,7.552524,20.838748,28.391272,68.825684,0.000000,0.100000
1774778642003,1.235000,1,0.000278,0.000419,0.000697,7.552536,20.838766,28.391302,68.825684,0.000000,0.000000
1774778642046,1.278000,1,0.000278,0.000233,0.000511,7.552548,20.838776,28.391323,68.825684,0.000000,0.000000
1774778642088,1.320000,1,0.000278,0.000278,0.000557,7.552559,20.838787,28.391347,68.825684,0.000000,0.100000
1774778642130,1.362000,1,0.000651,0.002701,0.003352,7.552587,20.838901,28.391488,68.825684,0.000000,0.000000
1774778642172,1.404000,1,0.003632,0.004517,0.008148,7.552740,20.839091,28.391831,68.825684,0.000000,0.400000
1774778642214,1.446000,1,0.004563,0.000325,0.004889,7.552932,20.839105,28.392037,68.825684,0.000000,0.400000
1774778642257,1.489000,1,0.000278,0.000233,0.000511,7.552944,20.839115,28.392059,68.825684,0.000000,0.300000
1774778642299,1.531000,1,0.000278,0.000233,0.000511,7.552956,20.839125,28.392080,68.825684,0.000000,0.300000
1774778642341,1.573000,1,0.000651,0.000233,0.000884,7.552983,20.839134,28.392118,68.825684,0.000000,0.100000
1774778642383,1.615000,1,0.000278,0.000233,0.000511,7.552995,20.839144,28.392139,68.825684,0.000000,0.000000
