ts_unix_ms,t_ms,pcie_link_gen,pcie_link_width,pcie_link_ref_GiB_s,pcie_tx_GiB_s,pcie_rx_GiB_s,pcie_total_GiB_s,pcie_tx_util_pct,pcie_rx_util_pct,pcie_total_util_pct,pcie_tx_peak_util_pct,pcie_rx_peak_util_pct,pcie_total_peak_util_pct,pcie_tx_cum_GiB,pcie_rx_cum_GiB,pcie_total_cum_GiB,util_gpu_pct,util_mem_pct,gpu_mem_used_GiB,gpu_mem_total_GiB,gpu_mem_used_pct,sm_clock_mhz,mem_clock_mhz,power_w,cpu_util_pct,cpu_mem_used_GiB,cpu_mem_avail_GiB,cpu_mem_used_pct
1775014611277,0,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.001,0.001,0.002,0.000000,0.000000,0.000000,0.000,0.000,68.606934,80.000000,85.759,1155.000,1593.000,45.318,0.400,26.857403,224.556396,10.700
1775014611319,42,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.001,0.001,0.002,0.000012,0.000012,0.000023,0.000,0.000,68.606934,80.000000,85.759,1155.000,1593.000,45.318,0.300,26.858364,224.555435,10.700
1775014611361,83,4,16,29.340386,0.000651,0.000233,0.000884,0.002,0.001,0.003,0.002,0.001,0.003,0.000039,0.000021,0.000060,0.000,0.000,68.606934,80.000000,85.759,1155.000,1593.000,45.318,0.100,26.857704,224.556095,10.700
1775014611402,125,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.002,0.001,0.003,0.000050,0.000031,0.000081,0.000,0.000,68.606934,80.000000,85.759,1155.000,1593.000,45.318,0.100,26.857925,224.555874,10.700
1775014611445,167,4,16,29.340386,0.000278,0.000325,0.000604,0.001,0.001,0.002,0.002,0.001,0.003,0.000062,0.000045,0.000107,0.000,0.000,68.606934,80.000000,85.759,1155.000,1593.000,45.318,0.000,26.857574,224.556225,10.700
1775014611487,209,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.002,0.001,0.003,0.000074,0.000055,0.000129,0.000,0.000,68.606934,80.000000,85.759,1155.000,1593.000,45.318,0.100,26.856270,224.557529,10.700
1775014611529,251,4,16,29.340386,0.000233,0.000651,0.000884,0.001,0.002,0.003,0.002,0.002,0.003,0.000084,0.000083,0.000167,0.000,0.000,68.606934,80.000000,85.759,1155.000,1593.000,45.318,0.000,26.856270,224.557529,10.700
1775014611573,295,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.002,0.002,0.003,0.000096,0.000093,0.000189,0.000,0.000,68.606934,80.000000,85.759,1155.000,1593.000,45.318,0.000,26.856171,224.557629,10.700
1775014611615,337,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.002,0.002,0.003,0.000108,0.000103,0.000210,0.000,0.000,68.606934,80.000000,85.759,1155.000,1593.000,45.318,0.200,26.855621,224.558178,10.700
1775014611657,379,4,16,29.340386,0.000651,0.000233,0.000884,0.002,0.001,0.003,0.002,0.002,0.003,0.000135,0.000112,0.000248,0.000,0.000,68.606934,80.000000,85.759,1155.000,1593.000,45.318,0.000,26.856972,224.556828,10.700
