ts_unix_ms,t_since_submit_s,inside_request_window,pcie_tx_GiB_s,pcie_rx_GiB_s,pcie_total_GiB_s,pcie_tx_cum_GiB,pcie_rx_cum_GiB,pcie_total_cum_GiB,gpu_mem_used_GiB,util_gpu_pct,cpu_util_pct
1775016745882,-0.129000,0,0.000651,0.000233,0.000884,70.798885,207.351309,278.150194,68.907715,0.000000,0.000000
1775016745924,-0.087000,0,0.000278,0.000278,0.000557,70.798897,207.351320,278.150217,68.907715,0.000000,0.000000
1775016745966,-0.045000,0,0.000651,0.000233,0.000884,70.798924,207.351330,278.150254,68.907715,0.000000,0.400000
1775016746009,-0.002000,0,0.000278,0.000278,0.000557,70.798936,207.351342,278.150278,68.907715,0.000000,0.300000
1775016746051,0.040000,1,0.000278,0.000278,0.000557,70.798948,207.351354,278.150301,68.907715,0.000000,0.100000
1775016746093,0.082000,1,0.000278,0.000233,0.000511,70.798959,207.351363,278.150323,68.907715,0.000000,0.100000
1775016746135,0.124000,1,0.000278,0.000278,0.000557,70.798971,207.351375,278.150346,68.907715,0.000000,0.000000
1775016746177,0.166000,1,0.001863,0.000233,0.002095,70.799049,207.351385,278.150434,68.907715,0.000000,0.100000
1775016746219,0.208000,1,0.000278,0.000233,0.000511,70.799061,207.351395,278.150456,68.907715,0.000000,0.000000
1775016746261,0.250000,1,1.104502,27.906987,29.011489,70.857302,208.822950,279.680253,68.907715,0.000000,0.300000
1775016746314,0.303000,1,3.183121,27.580559,30.763680,71.000553,210.064161,281.064713,68.907715,0.000000,0.300000
1775016746359,0.348000,1,3.188476,28.126547,31.315022,71.143819,211.327954,282.471773,68.907715,0.000000,0.400000
1775016746404,0.393000,1,1.369696,0.027520,1.397216,71.202530,211.329134,282.531664,68.907715,0.000000,0.400000
1775016746447,0.436000,1,0.009219,0.028451,0.037670,71.202932,211.330376,282.533308,68.907715,97.000000,0.400000
1775016746490,0.479000,1,0.009173,0.026309,0.035482,71.203334,211.331529,282.534864,68.907715,97.000000,0.400000
1775016746534,0.523000,1,0.008941,0.026822,0.035763,71.203714,211.332668,282.536382,68.907715,97.000000,0.300000
1775016746577,0.566000,1,0.009359,0.026775,0.036135,71.204112,211.333808,282.537920,68.907715,97.000000,0.400000
1775016746619,0.608000,1,0.003213,0.000233,0.003446,71.204248,211.333818,282.538066,68.907715,97.000000,0.100000
1775016746662,0.651000,1,0.000792,0.007962,0.008754,71.204284,211.334177,282.538461,68.907715,75.000000,0.100000
