request_id,phase,dispatch_group,dispatch_group_size,session_id,turn_id,prompt_tokens,reused_prefix_tokens_est,appended_tokens_est,reuse_ratio_est,expected_external_hit,max_tokens,source_dataset,source_row_index,source_row_id,source_row_name,source_num_steps,source_total_tokens,submit_ts_unix_ms,response_finish_ts_unix_ms,post_metrics_ts_unix_ms,elapsed_ms,group_submit_ts_unix_ms,group_response_finish_ts_unix_ms,group_post_metrics_ts_unix_ms,group_elapsed_ms,response_id,usage_prompt_tokens,usage_completion_tokens,http_status,error,metrics_error,lmcache_requested_tokens,lmcache_hit_tokens,lmcache_vllm_hit_tokens,lmcache_remote_read_bytes,lmcache_remote_write_bytes,lmcache_remote_read_requests,lmcache_remote_write_requests,lmcache_hit_ratio,lmcache_remote_read_GiB,lmcache_remote_write_GiB,group_lmcache_requested_tokens,group_lmcache_hit_tokens,group_lmcache_vllm_hit_tokens,group_lmcache_remote_read_bytes,group_lmcache_remote_write_bytes,group_lmcache_remote_read_requests,group_lmcache_remote_write_requests,group_lmcache_hit_ratio,group_lmcache_remote_read_GiB,group_lmcache_remote_write_GiB,metrics_attribution_scope
tb_session_00_turn_000_seed,seed,seed_tb_session_00,1,tb_session_00,0,24576,0,24576,0.0,0,16,yoonholee/terminalbench-trajectories,275,1b7f4d3c-01fe-4cb7-bdcf-647d5e9d0fe2,adaptive-rejection-sampler,149,47406,1775015653631,1775015656993,1775015658205,3362,1775015653630,1775015656993,1775015658205,3363,cmpl-86fb9d67de0cd9aa,24576,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0,0,0,0,3623878656,0,96,0.0,0.0,3.375,dispatch_group
tb_session_00_turn_001_reuse,reuse,reuse_round_001,4,tb_session_00,1,24832,24576,256,0.9896907216494846,1,16,yoonholee/terminalbench-trajectories,275,1b7f4d3c-01fe-4cb7-bdcf-647d5e9d0fe2,adaptive-rejection-sampler,149,47406,1775015658215,1775015663001,1775015669767,4786,1775015658214,1775015668545,1775015669767,10331,cmpl-8dc975ed87f64be5,24832,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,28928,28928,0,4265607168,9965666304,3,264,1.0,3.97265625,9.28125,dispatch_group
tb_session_01_turn_001_reuse,reuse,reuse_round_001,4,tb_session_01,1,24832,24576,256,0.9896907216494846,1,16,yoonholee/terminalbench-trajectories,277,a5c20ce4-9531-4659-9b87-db43caf205d2,adaptive-rejection-sampler,147,44694,1775015658216,1775015666100,1775015669767,7884,1775015658214,1775015668545,1775015669767,10331,cmpl-833104f036362199,24832,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,28928,28928,0,4265607168,9965666304,3,264,1.0,3.97265625,9.28125,dispatch_group
tb_session_02_turn_001_reuse,reuse,reuse_round_001,4,tb_session_02,1,24832,24576,256,0.9896907216494846,1,16,yoonholee/terminalbench-trajectories,385,39b4dc94-ce41-4dac-af99-4abd0404f602,adaptive-rejection-sampler,71,44527,1775015658218,1775015668384,1775015669767,10166,1775015658214,1775015668545,1775015669767,10331,cmpl-ae5f355713c81a5a,24832,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,28928,28928,0,4265607168,9965666304,3,264,1.0,3.97265625,9.28125,dispatch_group
tb_session_03_turn_001_reuse,reuse,reuse_round_001,4,tb_session_03,1,24832,24576,256,0.9896907216494846,1,16,yoonholee/terminalbench-trajectories,375,57212867-f8b4-4520-a0c4-eb5de38684dc,adaptive-rejection-sampler,60,39329,1775015658220,1775015668545,1775015669767,10325,1775015658214,1775015668545,1775015669767,10331,cmpl-997380114d9c9f6a,24832,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,28928,28928,0,4265607168,9965666304,3,264,1.0,3.97265625,9.28125,dispatch_group
tb_session_00_turn_002_reuse,reuse,reuse_round_002,4,tb_session_00,2,25088,24832,256,0.9897959183673469,1,16,yoonholee/terminalbench-trajectories,275,1b7f4d3c-01fe-4cb7-bdcf-647d5e9d0fe2,adaptive-rejection-sampler,149,47406,1775015669787,1775015671791,1775015673032,2004,1775015669786,1775015671810,1775015673032,2024,cmpl-bf1f2f88af770f9f,25088,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,dispatch_group
tb_session_01_turn_002_reuse,reuse,reuse_round_002,4,tb_session_01,2,25088,24832,256,0.9897959183673469,1,16,yoonholee/terminalbench-trajectories,277,a5c20ce4-9531-4659-9b87-db43caf205d2,adaptive-rejection-sampler,147,44694,1775015669788,1775015671810,1775015673032,2022,1775015669786,1775015671810,1775015673032,2024,cmpl-ab1e0c01d897c22b,25088,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,dispatch_group
tb_session_02_turn_002_reuse,reuse,reuse_round_002,4,tb_session_02,2,25088,24832,256,0.9897959183673469,1,16,yoonholee/terminalbench-trajectories,385,39b4dc94-ce41-4dac-af99-4abd0404f602,adaptive-rejection-sampler,71,44527,1775015669790,1775015671809,1775015673032,2019,1775015669786,1775015671810,1775015673032,2024,cmpl-86ae86fb83666d89,25088,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,dispatch_group
tb_session_03_turn_002_reuse,reuse,reuse_round_002,4,tb_session_03,2,25088,24832,256,0.9897959183673469,1,16,yoonholee/terminalbench-trajectories,375,57212867-f8b4-4520-a0c4-eb5de38684dc,adaptive-rejection-sampler,60,39329,1775015669791,1775015671810,1775015673032,2019,1775015669786,1775015671810,1775015673032,2024,cmpl-b7f678be632b31d3,25088,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,dispatch_group
tb_session_00_turn_003_reuse,reuse,reuse_round_003,4,tb_session_00,3,25344,25088,256,0.98989898989899,1,16,yoonholee/terminalbench-trajectories,275,1b7f4d3c-01fe-4cb7-bdcf-647d5e9d0fe2,adaptive-rejection-sampler,149,47406,1775015673056,1775015675178,1775015676428,2122,1775015673055,1775015675199,1775015676428,2144,cmpl-a4f3d1942595e296,25344,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,dispatch_group
