ts_unix_ms,t_ms,pcie_link_gen,pcie_link_width,pcie_link_ref_GiB_s,pcie_tx_GiB_s,pcie_rx_GiB_s,pcie_total_GiB_s,pcie_tx_util_pct,pcie_rx_util_pct,pcie_total_util_pct,pcie_tx_peak_util_pct,pcie_rx_peak_util_pct,pcie_total_peak_util_pct,pcie_tx_cum_GiB,pcie_rx_cum_GiB,pcie_total_cum_GiB,util_gpu_pct,util_mem_pct,gpu_mem_used_GiB,gpu_mem_total_GiB,gpu_mem_used_pct,sm_clock_mhz,mem_clock_mhz,power_w,cpu_util_pct,cpu_mem_used_GiB,cpu_mem_avail_GiB,cpu_mem_used_pct
1775015783085,0,4,16,29.340386,0.000651,0.000233,0.000884,0.002,0.001,0.003,0.002,0.001,0.003,0.000000,0.000000,0.000000,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.205482,223.208317,11.200
1775015783127,42,4,16,29.340386,0.000325,0.000233,0.000558,0.001,0.001,0.002,0.002,0.001,0.003,0.000014,0.000010,0.000024,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.207153,223.206646,11.200
1775015783169,83,4,16,29.340386,0.000325,0.000278,0.000604,0.001,0.001,0.002,0.002,0.001,0.003,0.000027,0.000021,0.000049,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.000,28.207153,223.206646,11.200
1775015783211,125,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.002,0.001,0.003,0.000039,0.000031,0.000070,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.000,28.206963,223.206837,11.200
1775015783253,167,4,16,29.340386,0.000278,0.000372,0.000650,0.001,0.001,0.002,0.002,0.001,0.003,0.000051,0.000047,0.000098,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.000,28.206528,223.207272,11.200
1775015783296,210,4,16,29.340386,0.000558,0.000233,0.000791,0.002,0.001,0.003,0.002,0.001,0.003,0.000074,0.000057,0.000131,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.206535,223.207264,11.200
1775015783338,252,4,16,29.340386,0.000278,0.002467,0.002746,0.001,0.008,0.009,0.002,0.008,0.009,0.000086,0.000161,0.000248,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.206535,223.207264,11.200
1775015783380,295,4,16,29.340386,0.005402,0.004517,0.009918,0.018,0.015,0.034,0.018,0.015,0.034,0.000318,0.000355,0.000673,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.206165,223.207634,11.200
1775015783423,338,4,16,29.340386,0.007497,0.000745,0.008242,0.026,0.003,0.028,0.026,0.015,0.034,0.000635,0.000387,0.001021,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.206165,223.207634,11.200
1775015783466,380,4,16,29.340386,0.004609,0.000278,0.004888,0.016,0.001,0.017,0.026,0.015,0.034,0.000830,0.000398,0.001228,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.206051,223.207748,11.200
1775015783508,422,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.015,0.034,0.000842,0.000410,0.001252,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.000,28.205448,223.208351,11.200
1775015783550,464,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.015,0.034,0.000853,0.000420,0.001273,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.000,28.204967,223.208832,11.200
1775015783592,506,4,16,29.340386,0.000651,0.000233,0.000884,0.002,0.001,0.003,0.026,0.015,0.034,0.000881,0.000430,0.001311,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.000,28.204967,223.208832,11.200
1775015783634,549,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.015,0.034,0.000893,0.000441,0.001334,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.204967,223.208832,11.200
1775015783677,591,4,16,29.340386,0.000558,0.000278,0.000836,0.002,0.001,0.003,0.026,0.015,0.034,0.000917,0.000454,0.001371,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.208927,223.204872,11.200
1775015783720,635,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.015,0.034,0.000929,0.000463,0.001392,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.208687,223.205112,11.200
1775015783763,677,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.015,0.034,0.000941,0.000475,0.001416,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.000,28.208687,223.205112,11.200
1775015783805,719,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.015,0.034,0.000952,0.000487,0.001439,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.000,28.208687,223.205112,11.200
1775015783847,761,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.015,0.034,0.000964,0.000497,0.001461,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.000,28.208195,223.205605,11.200
1775015783889,803,4,16,29.340386,0.000698,0.000233,0.000931,0.002,0.001,0.003,0.026,0.015,0.034,0.000994,0.000507,0.001500,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.207829,223.205971,11.200
1775015783931,846,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.015,0.034,0.001005,0.000518,0.001524,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.207649,223.206150,11.200
1775015783974,888,4,16,29.340386,0.000325,0.000278,0.000604,0.001,0.001,0.002,0.026,0.015,0.034,0.001020,0.000531,0.001550,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.000,28.207649,223.206150,11.200
1775015784018,932,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.015,0.034,0.001031,0.000540,0.001572,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.213898,223.199902,11.200
1775015784060,974,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.015,0.034,0.001043,0.000552,0.001595,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.221107,223.192692,11.200
1775015784102,1017,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.015,0.034,0.001055,0.000564,0.001619,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.228798,223.185001,11.200
1775015784144,1059,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.015,0.034,0.001067,0.000574,0.001640,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.236408,223.177391,11.200
1775015784186,1101,4,16,29.340386,0.000698,0.000233,0.000931,0.002,0.001,0.003,0.026,0.015,0.034,0.001096,0.000584,0.001680,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,5.800,28.240524,223.173275,11.200
1775015784229,1143,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.015,0.034,0.001108,0.000595,0.001703,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,16.700,28.243416,223.170383,11.200
1775015784271,1185,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.015,0.034,0.001120,0.000607,0.001727,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.318,16.600,28.290550,223.123249,11.300
1775015784313,1228,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.015,0.034,0.001131,0.000619,0.001750,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.318,5.700,28.346687,223.067112,11.300
1775015784355,1270,4,16,29.340386,0.000278,0.000465,0.000744,0.001,0.002,0.003,0.026,0.015,0.034,0.001143,0.000639,0.001782,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.365913,223.047886,11.300
1775015784398,1312,4,16,29.340386,0.000278,0.002793,0.003072,0.001,0.010,0.010,0.026,0.015,0.034,0.001155,0.000757,0.001912,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.396675,223.017124,11.300
1775015784440,1355,4,16,29.340386,0.003678,0.007031,0.010710,0.013,0.024,0.037,0.026,0.024,0.037,0.001310,0.001053,0.002363,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.400,28.412056,223.001743,11.300
1775015784482,1397,4,16,29.340386,0.005727,0.004051,0.009778,0.020,0.014,0.033,0.026,0.024,0.037,0.001555,0.001226,0.002781,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,46.354,0.300,28.427437,222.986362,11.300
1775015784525,1440,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.037,0.001566,0.001236,0.002802,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,46.354,0.200,28.432121,222.981678,11.300
1775015784567,1482,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.037,0.001578,0.001248,0.002826,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.431713,222.982086,11.300
1775015784610,1524,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.037,0.001590,0.001259,0.002849,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.600,28.446167,222.967632,11.300
1775015784652,1566,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.037,0.001602,0.001269,0.002871,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.600,28.449261,222.964539,11.300
1775015784694,1608,4,16,29.340386,0.000698,0.000278,0.000977,0.002,0.001,0.003,0.026,0.024,0.037,0.001631,0.001281,0.002912,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.600,28.456947,222.956852,11.300
1775015784736,1651,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.037,0.001643,0.001291,0.002934,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.600,28.460918,222.952881,11.300
1775015784779,1693,4,16,29.340386,0.000651,0.000233,0.000884,0.002,0.001,0.003,0.026,0.024,0.037,0.001671,0.001301,0.002971,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.465244,222.948555,11.300
1775015784821,1735,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.037,0.001682,0.001312,0.002995,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.468414,222.945385,11.300
1775015784863,1777,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.037,0.001694,0.001324,0.003018,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.473221,222.940578,11.300
1775015784905,1819,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.037,0.001706,0.001334,0.003040,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.473221,222.940578,11.300
1775015784947,1861,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.037,0.001717,0.001344,0.003061,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.473221,222.940578,11.300
1775015784989,1904,4,16,29.340386,0.000651,0.000233,0.000884,0.002,0.001,0.003,0.026,0.024,0.037,0.001745,0.001353,0.003098,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.477547,222.936253,11.300
1775015785031,1946,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.037,0.001757,0.001365,0.003122,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.481392,222.932407,11.300
1775015785073,1988,4,16,29.340386,0.000419,0.000278,0.000697,0.001,0.001,0.002,0.026,0.024,0.037,0.001776,0.001378,0.003154,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.489082,222.924717,11.300
1775015785120,2034,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.037,0.001788,0.001390,0.003177,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.488781,222.925018,11.300
1775015785162,2076,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.037,0.001799,0.001402,0.003201,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.496471,222.917328,11.300
1775015785204,2118,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.037,0.001811,0.001413,0.003224,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.496471,222.917328,11.300
1775015785246,2160,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.037,0.001823,0.001423,0.003246,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.498837,222.914963,11.300
1775015785288,2203,4,16,29.340386,0.000698,0.000233,0.000931,0.002,0.001,0.003,0.026,0.024,0.037,0.001852,0.001433,0.003285,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.498112,222.915688,11.300
1775015785330,2245,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.037,0.001864,0.001445,0.003309,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.499554,222.914246,11.300
1775015785373,2287,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.037,0.001876,0.001456,0.003332,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.506283,222.907516,11.300
1775015785415,2329,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.037,0.001888,0.001468,0.003356,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.513012,222.900787,11.300
1775015785457,2371,4,16,29.340386,0.003166,0.003399,0.006565,0.011,0.012,0.022,0.026,0.024,0.037,0.002022,0.001612,0.003634,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.521172,222.892628,11.300
1775015785499,2414,4,16,29.340386,0.005402,0.006705,0.012107,0.018,0.023,0.041,0.026,0.024,0.041,0.002250,0.001895,0.004145,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.400,28.523312,222.890488,11.300
1775015785542,2456,4,16,29.340386,0.000837,0.004144,0.004981,0.003,0.014,0.017,0.026,0.024,0.041,0.002285,0.002070,0.004355,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.529079,222.884720,11.300
1775015785584,2498,4,16,29.340386,0.000698,0.000233,0.000931,0.002,0.001,0.003,0.026,0.024,0.041,0.002315,0.002080,0.004394,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,46.354,0.200,28.529079,222.884720,11.300
1775015785626,2540,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.041,0.002326,0.002090,0.004416,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,46.354,0.200,28.529079,222.884720,11.300
1775015785668,2582,4,16,29.340386,0.000325,0.000325,0.000650,0.001,0.001,0.002,0.026,0.024,0.041,0.002340,0.002103,0.004443,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.529079,222.884720,11.300
1775015785710,2624,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.041,0.002352,0.002113,0.004465,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.528770,222.885029,11.300
1775015785752,2666,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.041,0.002363,0.002125,0.004488,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.529007,222.884792,11.300
1775015785794,2709,4,16,29.340386,0.000605,0.000233,0.000837,0.002,0.001,0.003,0.026,0.024,0.041,0.002390,0.002135,0.004525,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.528770,222.885029,11.300
1775015785838,2752,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.041,0.002402,0.002145,0.004547,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.536221,222.877579,11.400
1775015785880,2795,4,16,29.340386,0.000651,0.000233,0.000884,0.002,0.001,0.003,0.026,0.024,0.041,0.002429,0.002155,0.004584,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.536343,222.877457,11.400
1775015785922,2837,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.041,0.002441,0.002164,0.004605,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.536190,222.877609,11.400
1775015785965,2879,4,16,29.340386,0.000278,0.000325,0.000604,0.001,0.001,0.002,0.026,0.024,0.041,0.002453,0.002178,0.004631,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.529934,222.883865,11.300
1775015786007,2921,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.041,0.002464,0.002190,0.004654,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.529934,222.883865,11.300
1775015786049,2963,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.041,0.002476,0.002200,0.004676,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.529934,222.883865,11.300
1775015786091,3005,4,16,29.340386,0.000651,0.000233,0.000884,0.002,0.001,0.003,0.026,0.024,0.041,0.002504,0.002209,0.004713,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.529934,222.883865,11.300
1775015786133,3047,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.041,0.002515,0.002219,0.004735,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.529934,222.883865,11.300
1775015786175,3089,4,16,29.340386,0.000605,0.000278,0.000883,0.002,0.001,0.003,0.026,0.024,0.041,0.002542,0.002231,0.004773,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.400,28.532818,222.880981,11.300
1775015786219,3133,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.041,0.002553,0.002241,0.004795,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.536423,222.877377,11.400
1775015786261,3175,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.041,0.002565,0.002253,0.004818,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.540268,222.873531,11.400
1775015786303,3217,4,16,29.340386,0.000233,0.000233,0.000465,0.001,0.001,0.002,0.026,0.024,0.041,0.002575,0.002263,0.004838,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.400,28.541714,222.872086,11.400
1775015786345,3259,4,16,29.340386,0.000325,0.000233,0.000558,0.001,0.001,0.002,0.026,0.024,0.041,0.002589,0.002273,0.004861,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.544117,222.869682,11.400
1775015786387,3302,4,16,29.340386,0.000651,0.000278,0.000930,0.002,0.001,0.003,0.026,0.024,0.041,0.002616,0.002284,0.004900,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.551086,222.862713,11.400
1775015786429,3344,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.041,0.002628,0.002294,0.004922,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.551086,222.862713,11.400
1775015786472,3386,4,16,29.340386,0.000278,0.000325,0.000604,0.001,0.001,0.002,0.026,0.024,0.041,0.002640,0.002308,0.004947,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.551964,222.861835,11.400
1775015786514,3428,4,16,29.340386,0.004703,0.001257,0.005960,0.016,0.004,0.020,0.026,0.024,0.041,0.002839,0.002361,0.005200,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.300,28.559654,222.854145,11.400
1775015786556,3471,4,16,29.340386,0.007544,0.000884,0.008428,0.026,0.003,0.029,0.026,0.024,0.041,0.003164,0.002399,0.005563,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,46.354,0.300,28.559654,222.854145,11.400
1775015786599,3514,4,16,29.340386,0.004796,0.000233,0.005029,0.016,0.001,0.017,0.026,0.024,0.041,0.003366,0.002409,0.005775,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,46.354,0.200,28.559654,222.854145,11.400
1775015786641,3556,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.041,0.003378,0.002419,0.005797,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,46.354,0.100,28.559654,222.854145,11.400
1775015786684,3598,4,16,29.340386,0.000651,0.000233,0.000884,0.002,0.001,0.003,0.026,0.024,0.041,0.003405,0.002429,0.005834,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.558464,222.855335,11.400
1775015786726,3640,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.041,0.003417,0.002438,0.005855,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.000,28.557720,222.856079,11.400
1775015786768,3682,4,16,29.340386,0.000278,0.000325,0.000604,0.001,0.001,0.002,0.026,0.024,0.041,0.003429,0.002452,0.005881,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.400,28.572124,222.841675,11.400
1775015786810,3724,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.041,0.003440,0.002462,0.005902,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.400,28.574493,222.839306,11.400
1775015786852,3767,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.041,0.003452,0.002474,0.005926,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.550236,222.863564,11.400
1775015786894,3809,4,16,29.340386,0.000605,0.000278,0.000883,0.002,0.001,0.003,0.026,0.024,0.041,0.003479,0.002486,0.005965,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.550476,222.863323,11.400
1775015786938,3852,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.041,0.003490,0.002496,0.005986,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.557674,222.856125,11.400
1775015786980,3895,4,16,29.340386,0.000651,0.000233,0.000884,0.002,0.001,0.003,0.026,0.024,0.041,0.003518,0.002505,0.006023,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.200,28.565098,222.848701,11.400
1775015787022,3937,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.041,0.003530,0.002517,0.006047,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.000,28.564857,222.848942,11.400
1775015787065,3979,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.026,0.024,0.041,0.003541,0.002529,0.006070,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.000,28.564678,222.849121,11.400
1775015787107,4021,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.026,0.024,0.041,0.003553,0.002539,0.006092,0.000,0.000,68.624512,80.000000,85.781,1155.000,1593.000,45.830,0.100,28.564610,222.849190,11.400
