request_id,phase,dispatch_group,dispatch_group_size,session_id,turn_id,prompt_tokens,reused_prefix_tokens_est,appended_tokens_est,reuse_ratio_est,expected_external_hit,elapsed_ms,usage_prompt_tokens,usage_completion_tokens,lmcache_requested_tokens,lmcache_hit_tokens,lmcache_vllm_hit_tokens,lmcache_hit_ratio,lmcache_remote_read_GiB,lmcache_remote_write_GiB,group_lmcache_hit_ratio,group_lmcache_remote_read_GiB,group_lmcache_remote_write_GiB,metrics_attribution_scope,tx_total_GiB,rx_total_GiB,total_transfer_GiB,peak_tx_GiB_s,peak_rx_GiB_s,peak_total_GiB_s
tb_session_00_turn_000_seed,seed,seed_tb_session_00,1,tb_session_00,0,24576,0,24576,0.000000,0,3352.000000,24576,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,dispatch_group,4.676520,0.032188,4.708708,15.468150,0.027334,15.475739
tb_session_00_turn_001_reuse,reuse,reuse_round_001,8,tb_session_00,1,24832,24576,256,0.989691,1,4673.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,4.851562,17.578125,dispatch_group,21.757004,7.526697,29.283701,15.451805,32.608955,35.776196
tb_session_01_turn_001_reuse,reuse,reuse_round_001,8,tb_session_01,1,24832,24576,256,0.989691,1,7876.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,4.851562,17.578125,dispatch_group,21.757004,7.526697,29.283701,15.451805,32.608955,35.776196
tb_session_02_turn_001_reuse,reuse,reuse_round_001,8,tb_session_02,1,24832,24576,256,0.989691,1,11632.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,4.851562,17.578125,dispatch_group,21.757004,7.526697,29.283701,15.451805,32.608955,35.776196
tb_session_03_turn_001_reuse,reuse,reuse_round_001,8,tb_session_03,1,24832,24576,256,0.989691,1,14418.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,4.851562,17.578125,dispatch_group,21.757004,7.526697,29.283701,15.451805,32.608955,35.776196
tb_session_04_turn_001_reuse,reuse,reuse_round_001,8,tb_session_04,1,24832,24576,256,0.989691,1,17239.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,4.851562,17.578125,dispatch_group,21.757004,7.526697,29.283701,15.451805,32.608955,35.776196
tb_session_05_turn_001_reuse,reuse,reuse_round_001,8,tb_session_05,1,24832,24576,256,0.989691,1,20608.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,4.851562,17.578125,dispatch_group,21.757004,7.526697,29.283701,15.451805,32.608955,35.776196
tb_session_06_turn_001_reuse,reuse,reuse_round_001,8,tb_session_06,1,24832,24576,256,0.989691,1,22901.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,4.851562,17.578125,dispatch_group,21.757004,7.526697,29.283701,15.451805,32.608955,35.776196
tb_session_07_turn_001_reuse,reuse,reuse_round_001,8,tb_session_07,1,24832,24576,256,0.989691,1,22751.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,4.851562,17.578125,dispatch_group,21.757004,7.526697,29.283701,15.451805,32.608955,35.776196
tb_session_00_turn_002_reuse,reuse,reuse_round_002,8,tb_session_00,2,25088,24832,256,0.989796,1,3764.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,0.076190,3.691406,7.945312,dispatch_group,3.582287,30.211770,33.794056,3.933766,34.072576,37.238653
tb_session_01_turn_002_reuse,reuse,reuse_round_002,8,tb_session_01,2,25088,24832,256,0.989796,1,3763.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,0.076190,3.691406,7.945312,dispatch_group,3.582287,30.211770,33.794056,3.933766,34.072576,37.238653
tb_session_02_turn_002_reuse,reuse,reuse_round_002,8,tb_session_02,2,25088,24832,256,0.989796,1,3789.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,0.076190,3.691406,7.945312,dispatch_group,3.582287,30.211770,33.794056,3.933766,34.072576,37.238653
tb_session_03_turn_002_reuse,reuse,reuse_round_002,8,tb_session_03,2,25088,24832,256,0.989796,1,3788.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,0.076190,3.691406,7.945312,dispatch_group,3.582287,30.211770,33.794056,3.933766,34.072576,37.238653
