sample_id,mode,prompt_tokens,context_tokens,generated_tokens,submit_ts_unix_ms,finish_ts_unix_ms,elapsed_ms,effective_prefill_ms,decode_ms_per_token,decode_tps,prefill_tps,response_id,usage_prompt_tokens,usage_completion_tokens,http_status,error
tok2048_s000_g128,decode,2048,2048,128,1774764560570,1774764562665,2095,,16.367188,61.097852,,cmpl-a13157d22c34c3f4,2048,128,200,
tok2048_s001_g128,decode,2048,2048,128,1774764560574,1774764562666,2092,,16.343750,61.185468,,cmpl-a7ff83cc006eaee6,2048,128,200,
tok2048_s001_g256,decode,2048,2048,256,1774764560575,1774764564350,3775,,14.746094,67.814570,,cmpl-8b92f5a4fe5562ca,2048,256,200,
tok2048_s000_g256,decode,2048,2048,256,1774764560572,1774764564363,3791,,14.808594,67.528357,,cmpl-b0a053d46bc6a742,2048,256,200,
tok2048_s002_g128,decode,2048,2048,128,1774764562665,1774764564411,1746,,13.640625,73.310424,,cmpl-94dce7655c6ddad5,2048,128,200,
tok2048_s003_g128,decode,2048,2048,128,1774764564363,1774764566128,1765,,13.789062,72.521246,,cmpl-a8207f2fe2d8fdc8,2048,128,200,
tok2048_s002_g256,decode,2048,2048,256,1774764562666,1774764566128,3462,,13.523438,73.945696,,cmpl-8bd499a93aeede3c,2048,256,200,
tok2048_s000_g512,decode,2048,2048,512,1774764560573,1774764567832,7259,,14.177734,70.533131,,cmpl-800b0d9136483532,2048,512,200,
tok2048_s001_g512,decode,2048,2048,512,1774764560576,1774764567833,7257,,14.173828,70.552570,,cmpl-9b683ddf9ed2be57,2048,512,200,
tok2048_s003_g256,decode,2048,2048,256,1774764564412,1774764567901,3489,,13.628906,73.373459,,cmpl-883ee04b5825417f,2048,256,200,
tok2048_s004_g128,decode,2048,2048,128,1774764566128,1774764567910,1782,,13.921875,71.829405,,cmpl-a6d8cb01e0f045ed,2048,128,200,
tok2048_s005_g128,decode,2048,2048,128,1774764567901,1774764569653,1752,,13.687500,73.059361,,cmpl-ac92af5493566705,2048,128,200,
tok2048_s002_g512,decode,2048,2048,512,1774764564350,1774764571167,6817,,13.314453,75.106352,,cmpl-9e32020aa3fd6771,2048,512,200,
tok2048_s004_g256,decode,2048,2048,256,1774764567832,1774764571191,3359,,13.121094,76.213159,,cmpl-8a2b7c87ac27fae2,2048,256,200,
tok2048_s005_g256,decode,2048,2048,256,1774764567910,1774764571397,3487,,13.621094,73.415543,,cmpl-bafecd150abf59a1,2048,256,200,
tok2048_s006_g128,decode,2048,2048,128,1774764571167,1774764572936,1769,,13.820312,72.357264,,cmpl-8644a47d66754d70,2048,128,200,
tok2048_s003_g512,decode,2048,2048,512,1774764566128,1774764572948,6820,,13.320312,75.073314,,cmpl-8cbdde61f32ab1a4,2048,512,200,
tok2048_s004_g512,decode,2048,2048,512,1774764567833,1774764574639,6806,,13.292969,75.227740,,cmpl-ab80c0b88e2e65f2,2048,512,200,
tok2048_s006_g256,decode,2048,2048,256,1774764571191,1774764574676,3485,,13.613281,73.457676,,cmpl-a9a363dc3718e46b,2048,256,200,
tok2048_s007_g128,decode,2048,2048,128,1774764572936,1774764574703,1767,,13.804688,72.439162,,cmpl-9d04d6b6f618bb20,2048,128,200,
tok2048_s008_g128,decode,2048,2048,128,1774764574676,1774764576429,1753,,13.695312,73.017684,,cmpl-beed1c16d395382f,2048,128,200,
tok2048_s007_g256,decode,2048,2048,256,1774764572948,1774764576442,3494,,13.648438,73.268460,,cmpl-b4a0f77bce9e08bf,2048,256,200,
tok2048_s005_g512,decode,2048,2048,512,1774764569653,1774764576475,6822,,13.324219,75.051305,,cmpl-8b07a0d7fd2badbe,2048,512,200,
tok2048_s008_g256,decode,2048,2048,256,1774764574703,1774764578184,3481,,13.597656,73.542086,,cmpl-81ca465b38f78849,2048,256,200,
tok2048_s009_g128,decode,2048,2048,128,1774764576442,1774764578210,1768,,13.812500,72.398190,,cmpl-a9d018aeea516cdb,2048,128,200,
tok2048_s006_g512,decode,2048,2048,512,1774764571397,1774764578210,6813,,13.306641,75.150448,,cmpl-94dd655525249a30,2048,512,200,
tok2048_s009_g256,decode,2048,2048,256,1774764576475,1774764579962,3487,,13.621094,73.415543,,cmpl-99a9467d9e6ea1c1,2048,256,200,
tok2048_s010_g128,decode,2048,2048,128,1774764578210,1774764579975,1765,,13.789062,72.521246,,cmpl-ad7bdfa6661b6547,2048,128,200,
tok2048_s007_g512,decode,2048,2048,512,1774764574639,1774764581609,6970,,13.613281,73.457676,,cmpl-8084517034113e08,2048,512,200,
tok2048_s010_g256,decode,2048,2048,256,1774764578210,1774764581723,3513,,13.722656,72.872189,,cmpl-9d9909d6c319cffe,2048,256,200,
tok2048_s011_g128,decode,2048,2048,128,1774764579975,1774764581760,1785,,13.945312,71.708683,,cmpl-b4366cd70df44520,2048,128,200,
tok2048_s008_g512,decode,2048,2048,512,1774764576429,1774764583631,7202,,14.066406,71.091364,,cmpl-9c7238281365dbb9,2048,512,200,
tok4096_s000_g128,decode,4096,4096,128,1774764581760,1774764583777,2017,,15.757812,63.460585,,cmpl-89e1032a943b8d77,4096,128,200,
tok2048_s011_g256,decode,2048,2048,256,1774764581609,1774764585281,3672,,14.343750,69.716776,,cmpl-8454b9dc912c63ad,2048,256,200,
tok2048_s009_g512,decode,2048,2048,512,1774764578184,1774764585479,7295,,14.248047,70.185058,,cmpl-b1de2a33c5d0e8bd,2048,512,200,
tok4096_s001_g128,decode,4096,4096,128,1774764585281,1774764587328,2047,,15.992188,62.530532,,cmpl-982df2d2c4bc2162,4096,128,200,
tok4096_s000_g256,decode,4096,4096,256,1774764583631,1774764587340,3709,,14.488281,69.021300,,cmpl-82d25ff05aef0e45,4096,256,200,
tok2048_s010_g512,decode,2048,2048,512,1774764579962,1774764587392,7430,,14.511719,68.909825,,cmpl-9f854f31941cc9d0,2048,512,200,
tok4096_s001_g256,decode,4096,4096,256,1774764585479,1774764589365,3886,,15.179688,65.877509,,cmpl-8651bb264f6d663f,4096,256,200,
tok2048_s011_g512,decode,2048,2048,512,1774764581723,1774764589404,7681,,15.001953,66.657987,,cmpl-859c70b3de4d80f0,2048,512,200,
tok4096_s002_g128,decode,4096,4096,128,1774764587340,1774764589405,2065,,16.132812,61.985472,,cmpl-aca9fb68d01edd17,4096,128,200,
tok4096_s002_g256,decode,4096,4096,256,1774764587392,1774764591436,4044,,15.796875,63.303660,,cmpl-bc66eb678f8008c9,4096,256,200,
tok4096_s003_g128,decode,4096,4096,128,1774764589405,1774764591496,2091,,16.335938,61.214730,,cmpl-943ec68385b9693a,4096,128,200,
tok4096_s000_g512,decode,4096,4096,512,1774764583777,1774764591520,7743,,15.123047,66.124241,,cmpl-b5b7037a9f3a4ad2,4096,512,200,
tok4096_s003_g256,decode,4096,4096,256,1774764589405,1774764593517,4112,,16.062500,62.256809,,cmpl-acd9191fa1a75b64,4096,256,200,
tok4096_s004_g128,decode,4096,4096,128,1774764591496,1774764593577,2081,,16.257812,61.508890,,cmpl-a95e8d90c1fbbc25,4096,128,200,
tok4096_s001_g512,decode,4096,4096,512,1774764587328,1774764595475,8147,,15.912109,62.845219,,cmpl-b144e743ed329537,4096,512,200,
tok4096_s004_g256,decode,4096,4096,256,1774764591520,1774764595640,4120,,16.093750,62.135922,,cmpl-8e1aa2b1c16d67b8,4096,256,200,
tok4096_s005_g128,decode,4096,4096,128,1774764593577,1774764595679,2102,,16.421875,60.894386,,cmpl-85b8a5b8891c9c41,4096,128,200,
tok4096_s002_g512,decode,4096,4096,512,1774764589365,1774764597554,8189,,15.994141,62.522897,,cmpl-88224aa67d66b354,4096,512,200,
tok4096_s006_g128,decode,4096,4096,128,1774764595679,1774764597785,2106,,16.453125,60.778727,,cmpl-bf4580d53d750b9d,4096,128,200,
tok4096_s005_g256,decode,4096,4096,256,1774764595476,1774764599282,3806,,14.867188,67.262218,,cmpl-9e20d59c978f72de,4096,256,200,
tok4096_s003_g512,decode,4096,4096,512,1774764591436,1774764599321,7885,,15.400391,64.933418,,cmpl-b0b38995d6d0bcb1,4096,512,200,
tok4096_s006_g256,decode,4096,4096,256,1774764597554,1774764601332,3778,,14.757812,67.760720,,cmpl-8110c52d28c02e27,4096,256,200,
tok4096_s007_g128,decode,4096,4096,128,1774764599282,1774764601359,2077,,16.226562,61.627347,,cmpl-bde1391373ac4679,4096,128,200,
tok4096_s004_g512,decode,4096,4096,512,1774764593517,1774764601404,7887,,15.404297,64.916952,,cmpl-8ac405c4e266cd24,4096,512,200,
tok4096_s007_g256,decode,4096,4096,256,1774764599321,1774764603403,4082,,15.945312,62.714356,,cmpl-9ce1f571596c5a1d,4096,256,200,
tok4096_s008_g128,decode,4096,4096,128,1774764601359,1774764603442,2083,,16.273438,61.449832,,cmpl-9cfa8ddadeeb17a6,4096,128,200,
tok4096_s005_g512,decode,4096,4096,512,1774764595640,1774764603652,8012,,15.648438,63.904144,,cmpl-9475155469bf9a79,4096,512,200,
tok4096_s008_g256,decode,4096,4096,256,1774764601404,1774764605486,4082,,15.945312,62.714356,,cmpl-896b71e6eb83916c,4096,256,200,
tok4096_s009_g128,decode,4096,4096,128,1774764603442,1774764605526,2084,,16.281250,61.420345,,cmpl-b7e1c0e21a598c37,4096,128,200,
tok4096_s006_g512,decode,4096,4096,512,1774764597785,1774764605940,8155,,15.927734,62.783568,,cmpl-ac528e407ffacf35,4096,512,200,
tok4096_s009_g256,decode,4096,4096,256,1774764603652,1774764607584,3932,,15.359375,65.106816,,cmpl-a6daca5faa29859a,4096,256,200,
tok4096_s010_g128,decode,4096,4096,128,1774764605526,1774764607611,2085,,16.289062,61.390887,,cmpl-9f9d121cadfa8402,4096,128,200,
tok4096_s007_g512,decode,4096,4096,512,1774764601333,1774764609518,8185,,15.986328,62.553451,,cmpl-9f4077f8d8c5b9ef,4096,512,200,
tok4096_s011_g128,decode,4096,4096,128,1774764607611,1774764609722,2111,,16.492188,60.634770,,cmpl-9aa56545444b3ee0,4096,128,200,
tok4096_s010_g256,decode,4096,4096,256,1774764605940,1774764609748,3808,,14.875000,67.226891,,cmpl-9b33e2412066f94f,4096,256,200,
tok4096_s008_g512,decode,4096,4096,512,1774764603403,1774764612097,8694,,16.980469,58.891189,,cmpl-a23a6be5d53fc49c,4096,512,200,
tok8192_s000_g128,decode,8192,8192,128,1774764609748,1774764612412,2664,,20.812500,48.048048,,cmpl-8e4068ff9bdd5d79,8192,128,200,
tok4096_s011_g256,decode,4096,4096,256,1774764609518,1774764613993,4475,,17.480469,57.206704,,cmpl-8ce0ff7827dc698c,4096,256,200,
tok4096_s009_g512,decode,4096,4096,512,1774764605486,1774764614049,8563,,16.724609,59.792129,,cmpl-b08f5a014bcbbac3,4096,512,200,
tok8192_s000_g256,decode,8192,8192,256,1774764612098,1774764616686,4588,,17.921875,55.797733,,cmpl-8cdc792ad0b4c8c8,8192,256,200,
tok8192_s001_g128,decode,8192,8192,128,1774764613993,1774764616731,2738,,21.390625,46.749452,,cmpl-83ed9494cb2ab8b7,8192,128,200,
tok4096_s010_g512,decode,4096,4096,512,1774764607584,1774764616775,9191,,17.951172,55.706670,,cmpl-8c02968410b49afa,4096,512,200,
tok8192_s001_g256,decode,8192,8192,256,1774764614049,1774764619392,5343,,20.871094,47.913157,,cmpl-b1a7c1278fcca75d,8192,256,200,
tok8192_s002_g128,decode,8192,8192,128,1774764616731,1774764619490,2759,,21.554688,46.393621,,cmpl-bc1171725dffb2fa,8192,128,200,
tok4096_s011_g512,decode,4096,4096,512,1774764609722,1774764619520,9798,,19.136719,52.255562,,cmpl-9ad0192789154463,4096,512,200,
tok8192_s002_g256,decode,8192,8192,256,1774764616775,1774764622159,5384,,21.031250,47.548291,,cmpl-8856364d6dac4e18,8192,256,200,
tok8192_s003_g128,decode,8192,8192,128,1774764619491,1774764622273,2782,,21.734375,46.010065,,cmpl-8a16092addc10f92,8192,128,200,
