sample_id,mode,prompt_tokens,context_tokens,generated_tokens,submit_ts_unix_ms,finish_ts_unix_ms,elapsed_ms,effective_prefill_ms,decode_ms_per_token,decode_tps,prefill_tps,response_id,usage_prompt_tokens,usage_completion_tokens,http_status,error
tok2048_s000,prefill,2048,2048,1,1774685679025,1774685679322,297,297.000000,,,6895.622896,cmpl-a29f030e172fdbe6,2048,1,200,
tok2048_s001,prefill,2048,2048,1,1774685679026,1774685679470,444,444.000000,,,4612.612613,cmpl-a1af727429adc696,2048,1,200,
tok2048_s002,prefill,2048,2048,1,1774685679027,1774685679624,597,597.000000,,,3430.485762,cmpl-81b6e3d91a40ade4,2048,1,200,
tok2048_s003,prefill,2048,2048,1,1774685679028,1774685679780,752,752.000000,,,2723.404255,cmpl-927759d5d5713788,2048,1,200,
tok2048_s004,prefill,2048,2048,1,1774685679322,1774685679936,614,614.000000,,,3335.504886,cmpl-a53d74abae49bd4e,2048,1,200,
tok2048_s005,prefill,2048,2048,1,1774685679470,1774685680092,622,622.000000,,,3292.604502,cmpl-81dc62963e46e521,2048,1,200,
tok2048_s006,prefill,2048,2048,1,1774685679624,1774685680250,626,626.000000,,,3271.565495,cmpl-9e16c1325711fbbf,2048,1,200,
tok2048_s007,prefill,2048,2048,1,1774685679780,1774685680406,626,626.000000,,,3271.565495,cmpl-ba2251d93b02df20,2048,1,200,
tok2048_s008,prefill,2048,2048,1,1774685679936,1774685680563,627,627.000000,,,3266.347687,cmpl-a3b9dcdaeebcd999,2048,1,200,
tok2048_s009,prefill,2048,2048,1,1774685680092,1774685680720,628,628.000000,,,3261.146497,cmpl-ae9fc69d3881d4b8,2048,1,200,
tok2048_s010,prefill,2048,2048,1,1774685680250,1774685680878,628,628.000000,,,3261.146497,cmpl-a27dd7be5696d3e6,2048,1,200,
tok2048_s011,prefill,2048,2048,1,1774685680406,1774685681036,630,630.000000,,,3250.793651,cmpl-b3f977043b9d19ac,2048,1,200,
tok4096_s000,prefill,4096,4096,1,1774685680563,1774685681208,645,645.000000,,,6350.387597,cmpl-ba4fe8b0db233397,4096,1,200,
tok4096_s001,prefill,4096,4096,1,1774685680720,1774685681537,817,817.000000,,,5013.463892,cmpl-b55990bf994d9a2c,4096,1,200,
tok4096_s002,prefill,4096,4096,1,1774685680878,1774685681867,989,989.000000,,,4141.557128,cmpl-a8a18c3af47c8027,4096,1,200,
tok4096_s003,prefill,4096,4096,1,1774685681036,1774685682196,1160,1160.000000,,,3531.034483,cmpl-bdaf03c7eb1ca56a,4096,1,200,
tok4096_s004,prefill,4096,4096,1,1774685681208,1774685682526,1318,1318.000000,,,3107.738998,cmpl-8a6b34d21bb67a1a,4096,1,200,
tok4096_s005,prefill,4096,4096,1,1774685681537,1774685682857,1320,1320.000000,,,3103.030303,cmpl-a4a5cfe9d6be592d,4096,1,200,
tok4096_s006,prefill,4096,4096,1,1774685681867,1774685683186,1319,1319.000000,,,3105.382866,cmpl-bb1317aa48c42818,4096,1,200,
