ts_unix_ms,t_ms,pcie_link_gen,pcie_link_width,pcie_link_ref_GiB_s,pcie_tx_GiB_s,pcie_rx_GiB_s,pcie_total_GiB_s,pcie_tx_util_pct,pcie_rx_util_pct,pcie_total_util_pct,pcie_tx_peak_util_pct,pcie_rx_peak_util_pct,pcie_total_peak_util_pct,pcie_tx_cum_GiB,pcie_rx_cum_GiB,pcie_total_cum_GiB,util_gpu_pct,util_mem_pct,gpu_mem_used_GiB,gpu_mem_total_GiB,gpu_mem_used_pct,sm_clock_mhz,mem_clock_mhz,power_w,cpu_util_pct,cpu_mem_used_GiB,cpu_mem_avail_GiB,cpu_mem_used_pct
1774764180767,0,4,16,29.340386,0.000278,0.000325,0.000604,0.001,0.001,0.002,0.001,0.001,0.002,0.000000,0.000000,0.000000,0.000,0.000,68.571777,80.000000,85.715,1155.000,1593.000,45.830,0.300,12.943928,238.469872,5.100
1774764180867,100,4,16,29.340386,0.000278,0.002840,0.003119,0.001,0.010,0.011,0.001,0.010,0.011,0.000028,0.000285,0.000312,0.000,0.000,68.571777,80.000000,85.715,1155.000,1593.000,45.830,0.300,12.946651,238.467148,5.100
1774764180967,200,4,16,29.340386,0.004609,0.000278,0.004888,0.016,0.001,0.017,0.016,0.010,0.017,0.000490,0.000312,0.000802,0.000,0.000,68.571777,80.000000,85.715,1155.000,1593.000,45.830,0.100,12.946892,238.466908,5.100
1774764181067,300,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.016,0.010,0.017,0.000517,0.000340,0.000858,0.000,0.000,68.571777,80.000000,85.715,1155.000,1593.000,45.830,0.100,12.945717,238.468082,5.100
1774764181167,400,4,16,29.340386,0.000233,0.000278,0.000511,0.001,0.001,0.002,0.016,0.010,0.017,0.000541,0.000368,0.000909,0.000,0.000,68.571777,80.000000,85.715,1155.000,1593.000,45.318,0.000,12.945717,238.468082,5.100
1774764181267,500,4,16,29.340386,0.000278,0.000325,0.000604,0.001,0.001,0.002,0.016,0.010,0.017,0.000568,0.000401,0.000969,0.000,0.000,68.571777,80.000000,85.715,1155.000,1593.000,45.830,0.000,12.945717,238.468082,5.100
1774764181367,600,4,16,29.340386,0.000278,0.000325,0.000604,0.001,0.001,0.002,0.016,0.010,0.017,0.000596,0.000433,0.001029,0.000,0.000,68.571777,80.000000,85.715,1155.000,1593.000,45.830,0.000,12.944664,238.469135,5.100
1774764181467,700,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.016,0.010,0.017,0.000624,0.000461,0.001085,0.000,0.000,68.571777,80.000000,85.715,1155.000,1593.000,45.318,0.000,12.944664,238.469135,5.100
1774764181567,800,4,16,29.340386,0.000233,0.000278,0.000511,0.001,0.001,0.002,0.016,0.010,0.017,0.000647,0.000489,0.001136,0.000,0.000,68.571777,80.000000,85.715,1155.000,1593.000,45.830,0.000,12.944664,238.469135,5.100
1774764181667,900,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.016,0.010,0.017,0.000676,0.000517,0.001192,0.000,0.000,68.571777,80.000000,85.715,1155.000,1593.000,45.830,0.100,12.941456,238.472343,5.100
1774764181767,1000,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.016,0.010,0.017,0.000703,0.000544,0.001248,0.000,0.000,68.571777,80.000000,85.715,1155.000,1593.000,45.830,0.300,12.959553,238.454247,5.200
