context_tokens,generated_tokens,samples,mean_ms,std_ms,decode_ms_per_token,decode_tps
2048,128,12,1819.9166666666667,128.2862270885151,14.218098958333334,70.33289070012363
2048,256,12,3541.25,132.13156322393223,13.8330078125,72.29085774797035
2048,512,12,7097.666666666667,296.3770121540018,13.862630208333334,72.13638284882356
4096,128,12,2079.0833333333335,26.241737516383854,16.242838541666668,61.565593811375194
4096,256,12,3986.1666666666665,211.43270295483592,15.570963541666666,64.22210143412636
4096,512,12,8370.75,603.6397367786367,16.34912109375,61.16536749992534
8192,128,12,2789.6666666666665,51.12432855008435,21.794270833333332,45.883618114470075
8192,256,12,5150.833333333333,441.61230082780105,20.120442708333332,49.70069568031063
8192,512,12,11448.5,1359.6962561877226,22.3603515625,44.72201598462681
16384,128,12,4493.25,122.0000931445248,35.103515625,28.48717520725533
16384,256,12,7546.5,883.6765656773256,29.478515625,33.92301066719671
16384,512,12,18606.75,2575.4216292059477,36.34130859375,27.516895750198177
24576,128,12,6645.083333333333,153.68767522202785,51.914713541666664,19.262361896640375
24576,256,12,9643.083333333334,446.80409746907145,37.668294270833336,26.547525428415877
24576,512,12,26046.666666666668,1489.3978242188616,50.872395833333336,19.6570258510366
28672,128,12,7938.666666666667,97.75138532692687,62.020833333333336,16.123614376889485
28672,256,12,10701.583333333334,1582.4951218269396,41.803059895833336,23.921693830352204
28672,512,12,26053.0,7161.075211294613,50.884765625,19.65224734195678
