ts_unix_ms,t_since_start_s,phase,pcie_tx_GiB_s,pcie_rx_GiB_s,pcie_total_GiB_s,pcie_tx_cum_GiB,pcie_rx_cum_GiB,pcie_total_cum_GiB,pcie_tx_util_pct,pcie_rx_util_pct,pcie_total_util_pct,gpu_mem_used_GiB,util_gpu_pct,cpu_util_pct
1774764313967,0.027000,prefill,0.000278,0.000233,0.000511,0.095928,0.109039,0.204966,0.001000,0.001000,0.002000,68.571777,0.000000,1.100000
1774764314067,0.127000,prefill,0.000278,0.000233,0.000511,0.095955,0.109062,0.205018,0.001000,0.001000,0.002000,68.571777,0.000000,1.500000
1774764314167,0.227000,prefill,0.005215,0.014668,0.019882,0.096478,0.110531,0.207009,0.018000,0.050000,0.068000,68.798340,0.000000,0.400000
1774764314267,0.327000,prefill,0.004796,0.011455,0.016251,0.096957,0.111677,0.208635,0.016000,0.039000,0.055000,68.798340,0.000000,0.400000
1774764314367,0.427000,prefill,0.004144,0.014947,0.019091,0.097372,0.113174,0.210547,0.014000,0.051000,0.065000,68.798340,29.000000,0.300000
1774764314467,0.527000,prefill,0.003632,0.010896,0.014527,0.097735,0.114262,0.211997,0.012000,0.037000,0.050000,68.798340,29.000000,0.400000
1774764314567,0.627000,prefill,0.003632,0.014994,0.018625,0.098098,0.115762,0.213860,0.012000,0.051000,0.063000,68.798340,100.000000,0.400000
1774764314667,0.727000,prefill,0.004331,0.015320,0.019650,0.098534,0.117305,0.215839,0.015000,0.052000,0.067000,68.798340,100.000000,0.300000
1774764314767,0.827000,prefill,0.004284,0.014808,0.019092,0.098960,0.118776,0.217736,0.015000,0.050000,0.065000,68.798340,100.000000,0.400000
1774764314867,0.927000,prefill,0.003772,0.014155,0.017927,0.099337,0.120190,0.219527,0.013000,0.048000,0.061000,68.798340,100.000000,0.300000
1774764314967,1.027000,prefill,0.003632,0.011083,0.014714,0.099700,0.121298,0.220999,0.012000,0.038000,0.050000,68.798340,100.000000,0.400000
1774764315067,1.127000,prefill,0.003678,0.010663,0.014341,0.100068,0.122365,0.222433,0.013000,0.036000,0.049000,68.798340,100.000000,0.400000
