req_id,prompt_tokens,context_tokens,generated_tokens,prefill_time_ms,prefill_time_std_ms,decode_time_ms,decode_time_std_ms,kv_bytes_per_token,prefill_kv_bytes,decode_required_kv_bytes,chunk_size_tokens,chunked_prefill_kv_bytes,chunked_decode_kv_bytes
p2048_g128,2048,2048,128,833.750000,215.080266,1819.916667,122.824711,147456,301989888,301989888,256,301989888,301989888
p2048_g256,2048,2048,256,833.750000,215.080266,3541.250000,126.506340,147456,301989888,301989888,256,301989888,301989888
p2048_g512,2048,2048,512,833.750000,215.080266,7097.666667,283.759386,147456,301989888,301989888,256,301989888,301989888
p4096_g128,4096,4096,128,1686.500000,361.520516,2079.083333,25.124551,147456,603979776,603979776,256,603979776,603979776
p4096_g256,4096,4096,256,1686.500000,361.520516,3986.166667,202.431401,147456,603979776,603979776,256,603979776,603979776
p4096_g512,4096,4096,512,1686.500000,361.520516,8370.750000,577.941047,147456,603979776,603979776,256,603979776,603979776
p8192_g128,8192,8192,128,3779.750000,745.727846,2789.666667,48.947818,147456,1207959552,1207959552,256,1207959552,1207959552
p8192_g256,8192,8192,256,3779.750000,745.727846,5150.833333,422.811588,147456,1207959552,1207959552,256,1207959552,1207959552
p8192_g512,8192,8192,512,3779.750000,745.727846,11448.500000,1301.810054,147456,1207959552,1207959552,256,1207959552,1207959552
p16384_g128,16384,16384,128,8964.916667,1772.855064,4493.250000,116.806196,147456,2415919104,2415919104,256,2415919104,2415919104
p16384_g256,16384,16384,256,8964.916667,1772.855064,7546.500000,846.055898,147456,2415919104,2415919104,256,2415919104,2415919104
p16384_g512,16384,16384,512,8964.916667,1772.855064,18606.750000,2465.778482,147456,2415919104,2415919104,256,2415919104,2415919104
p24576_g128,24576,24576,128,16253.583333,2278.369536,6645.083333,147.144746,147456,3623878656,3623878656,256,3623878656,3623878656
p24576_g256,24576,24576,256,16253.583333,2278.369536,9643.083333,427.782355,147456,3623878656,3623878656,256,3623878656,3623878656
p24576_g512,24576,24576,512,16253.583333,2278.369536,26046.666667,1425.989851,147456,3623878656,3623878656,256,3623878656,3623878656
p28672_g128,28672,28672,128,21455.500000,1358.600781,7938.666667,93.589826,147456,4227858432,4227858432,256,4227858432,4227858432
p28672_g256,28672,28672,256,21455.500000,1358.600781,10701.583333,1515.123728,147456,4227858432,4227858432,256,4227858432,4227858432
p28672_g512,28672,28672,512,21455.500000,1358.600781,26053.000000,6856.207528,147456,4227858432,4227858432,256,4227858432,4227858432
