sample_id,mode,prompt_tokens,context_tokens,generated_tokens,submit_ts_unix_ms,finish_ts_unix_ms,elapsed_ms,effective_prefill_ms,decode_ms_per_token,decode_tps,prefill_tps,response_id,usage_prompt_tokens,usage_completion_tokens,http_status,error
tok2048_s001_g128,decode,2048,2048,128,1774765386358,1774765388462,2104,,16.437500,60.836502,,cmpl-96d4de65b37040a0,2048,128,200,
tok2048_s000_g128,decode,2048,2048,128,1774765386354,1774765388462,2108,,16.468750,60.721063,,cmpl-960f3f2a752e2053,2048,128,200,
tok2048_s000_g256,decode,2048,2048,256,1774765386356,1774765390154,3798,,14.835938,67.403897,,cmpl-930af30b20b421b5,2048,256,200,
tok2048_s001_g256,decode,2048,2048,256,1774765386359,1774765390167,3808,,14.875000,67.226891,,cmpl-aef6d6acbb68554c,2048,256,200,
tok2048_s002_g128,decode,2048,2048,128,1774765388462,1774765390219,1757,,13.726562,72.851451,,cmpl-b3804c330a59299d,2048,128,200,
tok2048_s002_g256,decode,2048,2048,256,1774765388462,1774765391932,3470,,13.554688,73.775216,,cmpl-89101bfda4fb7d34,2048,256,200,
tok2048_s003_g128,decode,2048,2048,128,1774765390167,1774765391932,1765,,13.789062,72.521246,,cmpl-ba7ce67abf9f1ae8,2048,128,200,
tok2048_s001_g512,decode,2048,2048,512,1774765386360,1774765393635,7275,,14.208984,70.378007,,cmpl-b4342b9c8f7efa0d,2048,512,200,
tok2048_s000_g512,decode,2048,2048,512,1774765386357,1774765393635,7278,,14.214844,70.348997,,cmpl-910ebd8bce2d60f2,2048,512,200,
tok2048_s003_g256,decode,2048,2048,256,1774765390219,1774765393696,3477,,13.582031,73.626690,,cmpl-a1d50cd4b857882e,2048,256,200,
tok2048_s004_g128,decode,2048,2048,128,1774765391932,1774765393708,1776,,13.875000,72.072072,,cmpl-a5de913c16f666ca,2048,128,200,
tok2048_s005_g128,decode,2048,2048,128,1774765393696,1774765395458,1762,,13.765625,72.644722,,cmpl-be03ff826a9c5613,2048,128,200,
tok2048_s002_g512,decode,2048,2048,512,1774765390154,1774765396970,6816,,13.312500,75.117371,,cmpl-a088996b1368b2bb,2048,512,200,
tok2048_s004_g256,decode,2048,2048,256,1774765393635,1774765396983,3348,,13.078125,76.463560,,cmpl-87db78af6a71b4f3,2048,256,200,
tok2048_s005_g256,decode,2048,2048,256,1774765393708,1774765397207,3499,,13.667969,73.163761,,cmpl-8aa67e09d0626e57,2048,256,200,
tok2048_s006_g128,decode,2048,2048,128,1774765396970,1774765398729,1759,,13.742188,72.768619,,cmpl-9fd147608a0a9ccb,2048,128,200,
tok2048_s003_g512,decode,2048,2048,512,1774765391932,1774765398919,6987,,13.646484,73.278947,,cmpl-88e7bf172eecc807,2048,512,200,
tok2048_s004_g512,decode,2048,2048,512,1774765393635,1774765400448,6813,,13.306641,75.150448,,cmpl-bb47b7fbf342cc71,2048,512,200,
tok2048_s006_g256,decode,2048,2048,256,1774765396983,1774765400486,3503,,13.683594,73.080217,,cmpl-9affd76bc3b7ab80,2048,256,200,
tok2048_s007_g128,decode,2048,2048,128,1774765398729,1774765400501,1772,,13.843750,72.234763,,cmpl-b4f5f138fd745060,2048,128,200,
tok2048_s008_g128,decode,2048,2048,128,1774765400486,1774765402238,1752,,13.687500,73.059361,,cmpl-8fe618f13cc6adac,2048,128,200,
tok2048_s007_g256,decode,2048,2048,256,1774765398919,1774765402275,3356,,13.109375,76.281287,,cmpl-acf62aaa2e4115a0,2048,256,200,
tok2048_s005_g512,decode,2048,2048,512,1774765395458,1774765402300,6842,,13.363281,74.831920,,cmpl-80892f29a56f338c,2048,512,200,
tok2048_s008_g256,decode,2048,2048,256,1774765400501,1774765403989,3488,,13.625000,73.394495,,cmpl-ba8327fa0d523fe4,2048,256,200,
tok2048_s006_g512,decode,2048,2048,512,1774765397207,1774765404014,6807,,13.294922,75.216689,,cmpl-bab5c7712c85eb0a,2048,512,200,
tok2048_s009_g128,decode,2048,2048,128,1774765402275,1774765404044,1769,,13.820312,72.357264,,cmpl-a058014645c59dac,2048,128,200,
tok2048_s010_g128,decode,2048,2048,128,1774765404014,1774765405770,1756,,13.718750,72.892938,,cmpl-af96af9622edc8f7,2048,128,200,
tok2048_s009_g256,decode,2048,2048,256,1774765402300,1774765405783,3483,,13.605469,73.499856,,cmpl-86a317e788217094,2048,256,200,
tok2048_s007_g512,decode,2048,2048,512,1774765400448,1774765407414,6966,,13.605469,73.499856,,cmpl-814782d49c616660,2048,512,200,
tok2048_s010_g256,decode,2048,2048,256,1774765404044,1774765407541,3497,,13.660156,73.205605,,cmpl-9deee1bbe72332de,2048,256,200,
tok2048_s011_g128,decode,2048,2048,128,1774765405783,1774765407565,1782,,13.921875,71.829405,,cmpl-a6a12af49969d744,2048,128,200,
tok2048_s008_g512,decode,2048,2048,512,1774765402238,1774765409478,7240,,14.140625,70.718232,,cmpl-8abb6a9c355d897d,2048,512,200,
tok4096_s000_g128,decode,4096,4096,128,1774765407565,1774765409584,2019,,15.773438,63.397722,,cmpl-a7082b6ac9adda9f,4096,128,200,
tok2048_s011_g256,decode,2048,2048,256,1774765407414,1774765411060,3646,,14.242188,70.213933,,cmpl-a5c017f47f7a5518,2048,256,200,
tok2048_s009_g512,decode,2048,2048,512,1774765403989,1774765411260,7271,,14.201172,70.416724,,cmpl-939b996da10a4b76,2048,512,200,
tok4096_s001_g128,decode,4096,4096,128,1774765411060,1774765413111,2051,,16.023438,62.408581,,cmpl-bdf5a2b498f1d62f,4096,128,200,
tok4096_s000_g256,decode,4096,4096,256,1774765409478,1774765413162,3684,,14.390625,69.489685,,cmpl-83fbd88d7e685c48,4096,256,200,
tok2048_s010_g512,decode,2048,2048,512,1774765405770,1774765413201,7431,,14.513672,68.900552,,cmpl-a29e7a834ac230a2,2048,512,200,
tok4096_s001_g256,decode,4096,4096,256,1774765411260,1774765415146,3886,,15.179688,65.877509,,cmpl-913d79ac9b6a3c9d,4096,256,200,
tok2048_s011_g512,decode,2048,2048,512,1774765407541,1774765415206,7665,,14.970703,66.797130,,cmpl-8c30e2a9c7dc6aed,2048,512,200,
tok4096_s002_g128,decode,4096,4096,128,1774765413162,1774765415229,2067,,16.148438,61.925496,,cmpl-9e4206d9d464c7d9,4096,128,200,
tok4096_s002_g256,decode,4096,4096,256,1774765413202,1774765417265,4063,,15.871094,63.007630,,cmpl-82aa77c3366b5dae,4096,256,200,
tok4096_s003_g128,decode,4096,4096,128,1774765415206,1774765417278,2072,,16.187500,61.776062,,cmpl-9137299f2cf6f085,4096,128,200,
tok4096_s000_g512,decode,4096,4096,512,1774765409584,1774765417335,7751,,15.138672,66.055993,,cmpl-812284195d1cb26d,4096,512,200,
tok4096_s003_g256,decode,4096,4096,256,1774765415229,1774765419321,4092,,15.984375,62.561095,,cmpl-8600a11e194fab87,4096,256,200,
tok4096_s004_g128,decode,4096,4096,128,1774765417278,1774765419381,2103,,16.429688,60.865430,,cmpl-a76a5cc6a1ac196e,4096,128,200,
tok4096_s001_g512,decode,4096,4096,512,1774765413111,1774765421293,8182,,15.980469,62.576387,,cmpl-92f5812e23020444,4096,512,200,
tok4096_s004_g256,decode,4096,4096,256,1774765417336,1774765421444,4108,,16.046875,62.317429,,cmpl-ad33c003fe50fec7,4096,256,200,
tok4096_s005_g128,decode,4096,4096,128,1774765419381,1774765421484,2103,,16.429688,60.865430,,cmpl-8eacd0167c9cf8e0,4096,128,200,
tok4096_s002_g512,decode,4096,4096,512,1774765415146,1774765423347,8201,,16.017578,62.431411,,cmpl-bc83330269c3ce75,4096,512,200,
tok4096_s006_g128,decode,4096,4096,128,1774765421484,1774765423591,2107,,16.460938,60.749881,,cmpl-be89eece9948d08e,4096,128,200,
tok4096_s005_g256,decode,4096,4096,256,1774765421293,1774765425097,3804,,14.859375,67.297581,,cmpl-9145833b487f639c,4096,256,200,
tok4096_s003_g512,decode,4096,4096,512,1774765417265,1774765425301,8036,,15.695312,63.713290,,cmpl-9079a5bee82d0532,4096,512,200,
tok4096_s006_g256,decode,4096,4096,256,1774765423347,1774765427125,3778,,14.757812,67.760720,,cmpl-8c49b1419507d047,4096,256,200,
tok4096_s007_g128,decode,4096,4096,128,1774765425097,1774765427186,2089,,16.320312,61.273337,,cmpl-86cd6ea35e831096,4096,128,200,
