sample_id,mode,prompt_tokens,context_tokens,generated_tokens,submit_ts_unix_ms,finish_ts_unix_ms,elapsed_ms,effective_prefill_ms,decode_ms_per_token,decode_tps,prefill_tps,response_id,usage_prompt_tokens,usage_completion_tokens,http_status,error
tok2048_s001,prefill,2048,2048,1,1774686827527,1774686827850,323,323.000000,,,6340.557276,cmpl-af54d1c7aa08d959,2048,1,200,
tok2048_s000,prefill,2048,2048,1,1774686827526,1774686827997,471,471.000000,,,4348.195329,cmpl-b3840cb88a823085,2048,1,200,
tok2048_s003,prefill,2048,2048,1,1774686827529,1774686828151,622,622.000000,,,3292.604502,cmpl-be73d3fae6ea2a7a,2048,1,200,
tok2048_s002,prefill,2048,2048,1,1774686827528,1774686828307,779,779.000000,,,2629.011553,cmpl-8cbb6889bdbfd5af,2048,1,200,
tok2048_s004,prefill,2048,2048,1,1774686827850,1774686828462,612,612.000000,,,3346.405229,cmpl-89573b55b35d69a4,2048,1,200,
tok2048_s005,prefill,2048,2048,1,1774686827997,1774686828619,622,622.000000,,,3292.604502,cmpl-b95a01bda4466855,2048,1,200,
tok2048_s006,prefill,2048,2048,1,1774686828151,1774686828778,627,627.000000,,,3266.347687,cmpl-a7201a86125448ae,2048,1,200,
tok2048_s007,prefill,2048,2048,1,1774686828307,1774686828932,625,625.000000,,,3276.800000,cmpl-b64836a817d580c6,2048,1,200,
tok2048_s008,prefill,2048,2048,1,1774686828462,1774686829089,627,627.000000,,,3266.347687,cmpl-95bf8c14e3c96fe2,2048,1,200,
tok2048_s009,prefill,2048,2048,1,1774686828619,1774686829244,625,625.000000,,,3276.800000,cmpl-9fe2a2e2b867c533,2048,1,200,
tok2048_s010,prefill,2048,2048,1,1774686828778,1774686829400,622,622.000000,,,3292.604502,cmpl-81ba00b69c0ff3b6,2048,1,200,
tok2048_s011,prefill,2048,2048,1,1774686828932,1774686829558,626,626.000000,,,3271.565495,cmpl-a8b558bfa614fd4e,2048,1,200,
tok4096_s000,prefill,4096,4096,1,1774686829089,1774686829733,644,644.000000,,,6360.248447,cmpl-ad8e206698ab39bb,4096,1,200,
tok4096_s001,prefill,4096,4096,1,1774686829244,1774686830059,815,815.000000,,,5025.766871,cmpl-bbb2315fa49b20be,4096,1,200,
tok4096_s002,prefill,4096,4096,1,1774686829400,1774686830386,986,986.000000,,,4154.158215,cmpl-a60085d5169d0d3f,4096,1,200,
tok4096_s003,prefill,4096,4096,1,1774686829558,1774686830715,1157,1157.000000,,,3540.190147,cmpl-a06ab77647e76b70,4096,1,200,
tok4096_s004,prefill,4096,4096,1,1774686829733,1774686831046,1313,1313.000000,,,3119.573496,cmpl-a798c03add8e27bd,4096,1,200,
tok4096_s005,prefill,4096,4096,1,1774686830060,1774686831377,1317,1317.000000,,,3110.098709,cmpl-a501c857dd73fab6,4096,1,200,
tok4096_s006,prefill,4096,4096,1,1774686830386,1774686831705,1319,1319.000000,,,3105.382866,cmpl-af6bd92371ad7b3c,4096,1,200,
tok4096_s007,prefill,4096,4096,1,1774686830715,1774686832034,1319,1319.000000,,,3105.382866,cmpl-970abb29e20b9896,4096,1,200,
tok4096_s008,prefill,4096,4096,1,1774686831046,1774686832365,1319,1319.000000,,,3105.382866,cmpl-adb33fd278124320,4096,1,200,
tok4096_s009,prefill,4096,4096,1,1774686831377,1774686832698,1321,1321.000000,,,3100.681302,cmpl-b632db99cb94c05d,4096,1,200,
tok4096_s010,prefill,4096,4096,1,1774686831705,1774686833031,1326,1326.000000,,,3088.989442,cmpl-9f0355fbda35aa32,4096,1,200,
tok4096_s011,prefill,4096,4096,1,1774686832034,1774686833363,1329,1329.000000,,,3082.016554,cmpl-98edd2d01cb72721,4096,1,200,
tok8192_s000,prefill,8192,8192,1,1774686832366,1774686833929,1563,1563.000000,,,5241.202815,cmpl-90f2c94019056adb,8192,1,200,
tok8192_s001,prefill,8192,8192,1,1774686832699,1774686834654,1955,1955.000000,,,4190.281330,cmpl-838694b30e1d2343,8192,1,200,
tok8192_s002,prefill,8192,8192,1,1774686833031,1774686835376,2345,2345.000000,,,3493.390192,cmpl-9e3999334d6f8059,8192,1,200,
tok8192_s003,prefill,8192,8192,1,1774686833363,1774686836102,2739,2739.000000,,,2990.872581,cmpl-b5f596ce19f8ac61,8192,1,200,
tok8192_s004,prefill,8192,8192,1,1774686833930,1774686836828,2898,2898.000000,,,2826.777088,cmpl-8859c94fe41ed8bf,8192,1,200,
tok8192_s005,prefill,8192,8192,1,1774686834654,1774686837555,2901,2901.000000,,,2823.853844,cmpl-a450bb11fcb989a8,8192,1,200,
tok8192_s006,prefill,8192,8192,1,1774686835376,1774686838284,2908,2908.000000,,,2817.056396,cmpl-bb1068aac886ac5c,8192,1,200,
tok8192_s007,prefill,8192,8192,1,1774686836102,1774686839011,2909,2909.000000,,,2816.088003,cmpl-8bacbf37e75439d3,8192,1,200,
tok8192_s008,prefill,8192,8192,1,1774686836828,1774686839740,2912,2912.000000,,,2813.186813,cmpl-83b614b34f66174e,8192,1,200,
tok8192_s009,prefill,8192,8192,1,1774686837555,1774686840497,2942,2942.000000,,,2784.500340,cmpl-9eb23c03a800afbb,8192,1,200,
tok8192_s010,prefill,8192,8192,1,1774686838284,1774686841204,2920,2920.000000,,,2805.479452,cmpl-9c0df4a9628115b3,8192,1,200,
tok8192_s011,prefill,8192,8192,1,1774686839011,1774686841943,2932,2932.000000,,,2793.997271,cmpl-8c078323d52f1915,8192,1,200,
tok16384_s000,prefill,16384,16384,1,1774686839740,1774686843492,3752,3752.000000,,,4366.737740,cmpl-a309b300d7928765,16384,1,200,
tok16384_s001,prefill,16384,16384,1,1774686840498,1774686845190,4692,4692.000000,,,3491.901108,cmpl-a47bcb267b9d7829,16384,1,200,
tok16384_s002,prefill,16384,16384,1,1774686841204,1774686846905,5701,5701.000000,,,2873.881775,cmpl-b9165933125c7836,16384,1,200,
tok16384_s003,prefill,16384,16384,1,1774686841943,1774686848620,6677,6677.000000,,,2453.796615,cmpl-8a0f6bdaf16dcda5,16384,1,200,
tok16384_s004,prefill,16384,16384,1,1774686843492,1774686850335,6843,6843.000000,,,2394.271518,cmpl-bfe6c7e9724f5c35,16384,1,200,
tok16384_s005,prefill,16384,16384,1,1774686845190,1774686852053,6863,6863.000000,,,2387.294186,cmpl-a7bcbe07a898a134,16384,1,200,
tok16384_s006,prefill,16384,16384,1,1774686846905,1774686853774,6869,6869.000000,,,2385.208910,cmpl-a0b7904d9b0e6227,16384,1,200,
tok16384_s007,prefill,16384,16384,1,1774686848620,1774686855503,6883,6883.000000,,,2380.357402,cmpl-a7bcb0fd1d90183c,16384,1,200,
tok16384_s008,prefill,16384,16384,1,1774686850335,1774686857232,6897,6897.000000,,,2375.525591,cmpl-bda7414078e7e91c,16384,1,200,
tok16384_s009,prefill,16384,16384,1,1774686852053,1774686858958,6905,6905.000000,,,2372.773353,cmpl-903a77ab34ef4658,16384,1,200,
tok16384_s010,prefill,16384,16384,1,1774686853774,1774686860698,6924,6924.000000,,,2366.262276,cmpl-82341b2b13ba0f9a,16384,1,200,
tok16384_s011,prefill,16384,16384,1,1774686855503,1774686862254,6751,6751.000000,,,2426.899719,cmpl-816f71c95ba5f309,16384,1,200,
tok24576_s000,prefill,24576,24576,1,1774686857232,1774686865225,7993,7993.000000,,,3074.690354,cmpl-8cef336278e05e2a,24576,1,200,
tok24576_s001,prefill,24576,24576,1,1774686858958,1774686868193,9235,9235.000000,,,2661.180292,cmpl-b031324b05670176,24576,1,200,
tok24576_s002,prefill,24576,24576,1,1774686860698,1774686871174,10476,10476.000000,,,2345.933562,cmpl-a0222c2e872c8db1,24576,1,200,
tok24576_s003,prefill,24576,24576,1,1774686862254,1774686874165,11911,11911.000000,,,2063.302829,cmpl-a18c58e6b439a1dc,24576,1,200,
tok24576_s004,prefill,24576,24576,1,1774686865225,1774686877152,11927,11927.000000,,,2060.534921,cmpl-93ae009e4d7eae3a,24576,1,200,
tok24576_s005,prefill,24576,24576,1,1774686868193,1774686880148,11955,11955.000000,,,2055.708908,cmpl-bba3265ac053483d,24576,1,200,
tok24576_s006,prefill,24576,24576,1,1774686871174,1774686883142,11968,11968.000000,,,2053.475936,cmpl-a4f31b630cfde28e,24576,1,200,
tok24576_s007,prefill,24576,24576,1,1774686874165,1774686886152,11987,11987.000000,,,2050.221073,cmpl-a3f20c8ac17fa862,24576,1,200,
tok24576_s008,prefill,24576,24576,1,1774686877152,1774686889163,12011,12011.000000,,,2046.124386,cmpl-936124e84228ab18,24576,1,200,
tok24576_s009,prefill,24576,24576,1,1774686880148,1774686892177,12029,12029.000000,,,2043.062599,cmpl-9cdc67ce46f83ea8,24576,1,200,
tok24576_s010,prefill,24576,24576,1,1774686883142,1774686895201,12059,12059.000000,,,2037.979932,cmpl-bc2ae68cbac369cf,24576,1,200,
tok24576_s011,prefill,24576,24576,1,1774686886152,1774686898045,11893,11893.000000,,,2066.425629,cmpl-b485a94760bc277e,24576,1,200,
tok28672_s000,prefill,28672,28672,1,1774686889163,1774686901783,12620,12620.000000,,,2271.949287,cmpl-8b789efb3402f3d6,28672,1,200,
tok28672_s001,prefill,28672,28672,1,1774686892177,1774686905522,13345,13345.000000,,,2148.520045,cmpl-8bb7734f1ff61bd6,28672,1,200,
tok28672_s002,prefill,28672,28672,1,1774686895201,1774686909262,14061,14061.000000,,,2039.115283,cmpl-bd50abee84c69da5,28672,1,200,
tok28672_s003,prefill,28672,28672,1,1774686898045,1774686912976,14931,14931.000000,,,1920.300047,cmpl-b29d2c5706ebcaea,28672,1,200,
tok28672_s004,prefill,28672,28672,1,1774686901783,1774686916712,14929,14929.000000,,,1920.557305,cmpl-84a5d56f19367dc6,28672,1,200,
tok28672_s005,prefill,28672,28672,1,1774686905522,1774686920452,14930,14930.000000,,,1920.428667,cmpl-8a94a671120169c5,28672,1,200,
tok28672_s006,prefill,28672,28672,1,1774686909262,1774686924194,14932,14932.000000,,,1920.171444,cmpl-8b7e3bfdf6b01211,28672,1,200,
tok28672_s007,prefill,28672,28672,1,1774686912976,1774686927935,14959,14959.000000,,,1916.705662,cmpl-98e1b6e18ee5dbe4,28672,1,200,
tok28672_s008,prefill,28672,28672,1,1774686916712,1774686931694,14982,14982.000000,,,1913.763182,cmpl-ac3c1504c0c78480,28672,1,200,
tok28672_s009,prefill,28672,28672,1,1774686920452,1774686935450,14998,14998.000000,,,1911.721563,cmpl-8f262e2666db8520,28672,1,200,
tok28672_s010,prefill,28672,28672,1,1774686924195,1774686939216,15021,15021.000000,,,1908.794355,cmpl-8f12ba0cc6752ea7,28672,1,200,
tok28672_s011,prefill,28672,28672,1,1774686927935,1774686942779,14844,14844.000000,,,1931.554837,cmpl-a7e8cdb60e33a9e8,28672,1,200,
