ts_unix_ms,t_ms,pcie_link_gen,pcie_link_width,pcie_link_ref_GiB_s,pcie_tx_GiB_s,pcie_rx_GiB_s,pcie_total_GiB_s,pcie_tx_util_pct,pcie_rx_util_pct,pcie_total_util_pct,pcie_tx_peak_util_pct,pcie_rx_peak_util_pct,pcie_total_peak_util_pct,pcie_tx_cum_GiB,pcie_rx_cum_GiB,pcie_total_cum_GiB,util_gpu_pct,util_mem_pct,gpu_mem_used_GiB,gpu_mem_total_GiB,gpu_mem_used_pct,sm_clock_mhz,mem_clock_mhz,power_w,cpu_util_pct,cpu_mem_used_GiB,cpu_mem_avail_GiB,cpu_mem_used_pct
1774765005547,0,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.001,0.001,0.002,0.000000,0.000000,0.000000,0.000,0.000,68.581543,80.000000,85.727,1155.000,1593.000,46.354,0.000,45.678425,205.735374,18.200
1774765005647,100,4,16,29.340386,0.000605,0.000233,0.000837,0.002,0.001,0.003,0.002,0.001,0.003,0.000060,0.000023,0.000083,0.000,0.000,68.581543,80.000000,85.727,1155.000,1593.000,46.781,0.100,45.678169,205.735630,18.200
1774765005747,200,4,16,29.340386,0.003678,0.004703,0.008381,0.013,0.016,0.029,0.013,0.016,0.029,0.000430,0.000496,0.000927,0.000,0.000,68.581543,80.000000,85.727,1155.000,1593.000,46.354,0.100,45.683075,205.730724,18.200
1774765005847,300,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.013,0.016,0.029,0.000458,0.000524,0.000982,0.000,0.000,68.581543,80.000000,85.727,1155.000,1593.000,46.781,0.300,45.685078,205.728722,18.200
1774765005947,400,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.013,0.016,0.029,0.000486,0.000547,0.001034,0.000,0.000,68.581543,80.000000,85.727,1155.000,1593.000,46.354,0.100,45.682549,205.731251,18.200
1774765006047,500,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.013,0.016,0.029,0.000514,0.000575,0.001089,0.000,0.000,68.581543,80.000000,85.727,1155.000,1593.000,46.781,0.100,45.682274,205.731525,18.200
1774765006147,600,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.013,0.016,0.029,0.000542,0.000598,0.001140,0.000,0.000,68.581543,80.000000,85.727,1155.000,1593.000,46.354,0.000,45.681831,205.731968,18.200
1774765006247,700,4,16,29.340386,0.000278,0.000278,0.000557,0.001,0.001,0.002,0.013,0.016,0.029,0.000569,0.000626,0.001196,0.000,0.000,68.581543,80.000000,85.727,1155.000,1593.000,46.354,0.000,45.682072,205.731728,18.200
1774765006347,800,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.013,0.016,0.029,0.000597,0.000649,0.001247,0.000,0.000,68.581543,80.000000,85.727,1155.000,1593.000,46.354,0.000,45.682072,205.731728,18.200
1774765006447,900,4,16,29.340386,0.000278,0.000233,0.000511,0.001,0.001,0.002,0.013,0.016,0.029,0.000625,0.000673,0.001298,0.000,0.000,68.581543,80.000000,85.727,1155.000,1593.000,46.354,0.000,45.682072,205.731728,18.200
