ts_unix_ms,t_since_start_s,phase,pcie_tx_GiB_s,pcie_rx_GiB_s,pcie_total_GiB_s,pcie_tx_cum_GiB,pcie_rx_cum_GiB,pcie_total_cum_GiB,pcie_tx_util_pct,pcie_rx_util_pct,pcie_total_util_pct,gpu_mem_used_GiB,util_gpu_pct,cpu_util_pct
1774765141447,0.056000,prefill,0.000698,0.000233,0.000931,0.147065,0.087827,0.234891,0.002000,0.001000,0.003000,68.581543,0.000000,1.500000
1774765141547,0.156000,prefill,0.000651,0.000278,0.000930,0.147130,0.087854,0.234984,0.002000,0.001000,0.003000,68.581543,0.000000,1.400000
1774765141647,0.256000,prefill,0.052107,0.222912,0.275019,0.152354,0.110205,0.262559,0.178000,0.760000,0.937000,68.808105,0.000000,0.400000
1774765141747,0.356000,prefill,12.549199,1.623668,14.172867,1.408392,0.272716,1.681109,42.771000,5.534000,48.305000,68.808105,0.000000,0.400000
1774765141847,0.456000,prefill,0.238884,1.635542,1.874426,1.432283,0.436282,1.868564,0.814000,5.574000,6.389000,68.808105,51.000000,0.300000
1774765141947,0.556000,prefill,0.074598,0.294391,0.368989,1.440120,0.467212,1.907332,0.254000,1.003000,1.258000,68.808105,51.000000,0.500000
1774765142047,0.656000,prefill,0.066216,0.121258,0.187474,1.446403,0.478716,1.925119,0.226000,0.413000,0.639000,68.808105,100.000000,0.400000
1774765142147,0.756000,prefill,0.156136,0.461284,0.617419,1.463652,0.529679,1.993331,0.532000,1.572000,2.104000,68.808105,100.000000,0.400000
1774765142247,0.856000,prefill,0.094296,0.401726,0.496021,1.472094,0.565644,2.037738,0.321000,1.369000,1.691000,68.808105,100.000000,0.400000
1774765142347,0.956000,prefill,0.096112,0.349711,0.445824,1.481705,0.600614,2.082320,0.328000,1.192000,1.519000,68.808105,100.000000,0.300000
1774765142447,1.056000,prefill,0.078044,0.328430,0.406474,1.489509,0.633453,2.122962,0.266000,1.119000,1.385000,68.808105,100.000000,0.400000
1774765142547,1.156000,prefill,8.797505,0.414019,9.211524,2.369717,0.674876,3.044593,29.984000,1.411000,31.395000,68.808105,100.000000,0.400000
1774765142647,1.256000,prefill,0.096531,0.419933,0.516464,2.379366,0.716850,3.096215,0.329000,1.431000,1.760000,68.808105,100.000000,0.300000
1774765142747,1.356000,prefill,0.103562,0.440329,0.543891,2.389725,0.760895,3.150620,0.353000,1.501000,1.854000,68.808105,100.000000,0.600000
1774765142847,1.456000,prefill,13.166899,0.367732,13.534631,3.706053,0.797658,4.503711,44.876000,1.253000,46.130000,68.808105,100.000000,0.700000
1774765142947,1.556000,prefill,0.089779,0.398838,0.488617,3.715039,0.837579,4.552618,0.306000,1.359000,1.665000,68.808105,100.000000,0.300000
1774765143047,1.656000,prefill,0.115623,0.505568,0.621191,3.726601,0.888132,4.614732,0.394000,1.723000,2.117000,68.808105,100.000000,0.400000
1774765143147,1.756000,prefill,0.118510,0.176206,0.294716,3.738452,0.905753,4.644205,0.404000,0.601000,1.004000,68.808105,100.000000,0.400000
1774765143247,1.856000,prefill,0.101653,0.462541,0.564194,3.748607,0.951958,4.700564,0.346000,1.576000,1.923000,68.808105,100.000000,0.400000
1774765143347,1.956000,prefill,0.058300,0.274227,0.332527,3.754436,0.979379,4.733815,0.199000,0.935000,1.133000,68.808105,100.000000,0.400000
1774765143447,2.056000,prefill,0.058579,0.246754,0.305333,3.760291,1.004040,4.764331,0.200000,0.841000,1.041000,68.808105,100.000000,0.300000
1774765143547,2.156000,prefill,0.096438,0.418349,0.514788,3.769943,1.045910,4.815853,0.329000,1.426000,1.755000,68.808105,100.000000,0.400000
1774765143647,2.256000,prefill,11.354312,0.111991,11.466303,4.905018,1.057106,5.962124,38.699000,0.382000,39.080000,68.808105,100.000000,0.500000
1774765143747,2.356000,prefill,0.043911,0.142492,0.186403,4.909407,1.071348,5.980756,0.150000,0.486000,0.635000,68.808105,100.000000,0.400000
1774765143847,2.456000,prefill,0.111619,0.509200,0.620819,4.920567,1.122260,6.042828,0.380000,1.735000,2.116000,68.808105,100.000000,0.700000
1774765143947,2.556000,prefill,0.199721,0.068824,0.268545,4.943980,1.130328,6.074308,0.681000,0.235000,0.915000,68.808105,100.000000,0.600000
1774765144047,2.656000,prefill,0.041630,0.180630,0.222260,4.947427,1.145285,6.092712,0.142000,0.616000,0.758000,68.808105,100.000000,0.400000
1774765144147,2.756000,prefill,11.968193,0.563030,12.531223,6.145714,1.201657,7.347371,40.791000,1.919000,42.710000,68.808105,100.000000,0.400000
1774765144247,2.856000,prefill,0.132014,0.574113,0.706127,6.158910,1.259043,7.417953,0.450000,1.957000,2.407000,68.808105,100.000000,0.300000
1774765144347,2.956000,prefill,0.025984,0.114832,0.140816,6.161509,1.270529,7.432038,0.089000,0.391000,0.480000,68.808105,100.000000,0.400000
1774765144447,3.056000,prefill,0.026217,0.051548,0.077765,6.164130,1.275684,7.439814,0.089000,0.176000,0.265000,68.808105,100.000000,0.400000
1774765144547,3.156000,prefill,0.082515,0.353995,0.436510,6.172382,1.311082,7.483464,0.281000,1.207000,1.488000,68.808105,100.000000,0.300000
1774765144647,3.256000,prefill,10.836682,0.138441,10.975123,7.256118,1.324927,8.581045,36.934000,0.472000,37.406000,68.808105,100.000000,0.400000
1774765144747,3.356000,prefill,0.035296,0.145658,0.180955,7.259648,1.339495,8.599142,0.120000,0.496000,0.617000,68.808105,100.000000,0.300000
1774765144847,3.456000,prefill,0.116508,0.491692,0.608199,7.271298,1.388662,8.659960,0.397000,1.676000,2.073000,68.808105,100.000000,0.400000
1774765144947,3.556000,prefill,0.117113,0.139558,0.256671,7.283023,1.402635,8.685658,0.399000,0.476000,0.875000,68.808105,100.000000,0.400000
1774765145047,3.656000,prefill,0.029802,0.131269,0.161072,7.285999,1.415742,8.701741,0.102000,0.447000,0.549000,68.808105,100.000000,0.400000
1774765145147,3.756000,prefill,3.035831,0.405544,3.441376,7.589769,1.456321,9.046090,10.347000,1.382000,11.729000,68.808105,100.000000,0.400000
1774765145247,3.856000,prefill,0.093039,0.402983,0.496021,7.599067,1.496594,9.095661,0.317000,1.373000,1.691000,68.808105,100.000000,0.300000
1774765145347,3.956000,prefill,0.048475,0.209408,0.257883,7.603915,1.517537,9.121452,0.165000,0.714000,0.879000,68.808105,100.000000,0.400000
1774765145447,4.056000,prefill,0.047729,0.127637,0.175366,7.608688,1.530300,9.138988,0.163000,0.435000,0.598000,68.808105,100.000000,0.400000
1774765145547,4.156000,prefill,0.241677,0.391994,0.633671,7.641025,1.582750,9.223775,0.824000,1.336000,2.160000,68.808105,100.000000,0.400000
1774765145647,4.256000,prefill,1.874566,0.152457,2.027023,7.765040,1.592836,9.357876,6.389000,0.520000,6.909000,68.808105,100.000000,0.600000
1774765145747,4.356000,prefill,0.037252,0.153714,0.190967,7.768766,1.608211,9.376977,0.127000,0.524000,0.651000,68.808105,100.000000,0.400000
1774765145847,4.456000,prefill,0.104774,0.400282,0.505055,7.779241,1.648231,9.427472,0.357000,1.364000,1.721000,68.808105,100.000000,0.700000
1774765145947,4.556000,prefill,1.042056,0.060209,1.102265,7.883586,1.654260,9.537846,3.552000,0.205000,3.757000,68.808105,100.000000,0.500000
1774765146047,4.656000,prefill,0.035296,0.140722,0.176019,7.887113,1.668319,9.555431,0.120000,0.480000,0.600000,68.808105,100.000000,0.400000
1774765146147,4.756000,prefill,0.367640,0.420352,0.787992,7.923903,1.710384,9.634287,1.253000,1.433000,2.686000,68.808105,100.000000,0.400000
1774765146247,4.856000,prefill,0.095739,0.421563,0.517303,7.933474,1.752529,9.686003,0.326000,1.437000,1.763000,68.808105,100.000000,0.300000
1774765146347,4.956000,prefill,0.034133,0.140024,0.174157,7.936887,1.766529,9.703416,0.116000,0.477000,0.594000,68.808105,100.000000,0.500000
1774765146447,5.056000,prefill,1.811049,0.189617,2.000667,8.118016,1.785494,9.903510,6.173000,0.646000,6.819000,68.808105,100.000000,0.300000
1774765146547,5.156000,prefill,0.096484,0.416580,0.513064,8.127661,1.827135,9.954797,0.329000,1.420000,1.749000,68.808105,100.000000,0.300000
1774765146647,5.256000,prefill,0.038370,0.177044,0.215414,8.131496,1.844828,9.976324,0.131000,0.603000,0.734000,68.808105,100.000000,0.500000
1774765146747,5.356000,prefill,0.040419,0.177882,0.218301,8.135540,1.862626,9.998165,0.138000,0.606000,0.744000,68.808105,100.000000,0.300000
1774765146847,5.456000,prefill,0.096345,0.367685,0.464030,8.145168,1.899373,10.044541,0.328000,1.253000,1.582000,68.808105,100.000000,0.400000
1774765146947,5.556000,prefill,6.614858,0.072038,6.686895,8.807888,1.906590,10.714478,22.545000,0.246000,22.791000,68.808105,100.000000,0.400000
1774765147047,5.656000,prefill,0.026076,0.114180,0.140256,8.810492,1.917993,10.728485,0.089000,0.389000,0.478000,68.808105,100.000000,0.400000
1774765147147,5.756000,prefill,0.203401,0.303099,0.506499,8.830835,1.948307,10.779142,0.693000,1.033000,1.726000,68.808105,100.000000,0.300000
1774765147247,5.856000,prefill,0.067334,0.304029,0.371364,8.837576,1.978746,10.816322,0.229000,1.036000,1.266000,68.808105,100.000000,0.300000
1774765147347,5.956000,prefill,0.031990,0.140071,0.172061,8.840779,1.992770,10.833549,0.109000,0.477000,0.586000,68.808105,100.000000,0.500000
1774765147447,6.056000,prefill,0.382168,0.053039,0.435206,8.878867,1.998056,10.876922,1.303000,0.181000,1.483000,68.808105,100.000000,0.400000
1774765147547,6.156000,prefill,0.031571,0.137742,0.169313,8.882025,2.011834,10.893858,0.108000,0.469000,0.577000,68.808105,100.000000,0.300000
1774765147647,6.256000,prefill,12.986222,0.278977,13.265200,10.181205,2.039743,12.220949,44.261000,0.951000,45.211000,68.808105,100.000000,0.400000
1774765147747,6.356000,prefill,0.073900,0.324799,0.398699,10.188590,2.072198,12.260788,0.252000,1.107000,1.359000,68.808105,100.000000,0.600000
1774765147847,6.456000,prefill,7.716333,0.077858,7.794191,10.960583,2.079988,13.040571,26.299000,0.265000,26.565000,68.808105,100.000000,0.700000
1774765147947,6.556000,prefill,0.036647,0.109710,0.146357,10.964250,2.090967,13.055217,0.125000,0.374000,0.499000,68.808105,100.000000,0.400000
1774765148047,6.656000,prefill,0.031153,0.137836,0.168988,10.967364,2.104743,13.072106,0.106000,0.470000,0.576000,68.808105,100.000000,0.400000
1774765148147,6.756000,prefill,0.032037,0.135553,0.167590,10.970566,2.118292,13.088857,0.109000,0.462000,0.571000,68.808105,100.000000,0.300000
1774765148247,6.856000,prefill,0.032037,0.117439,0.149476,10.973777,2.130061,13.103838,0.109000,0.400000,0.509000,68.808105,100.000000,0.400000
1774765148347,6.956000,prefill,0.027659,0.108452,0.136111,10.976536,2.140882,13.117419,0.094000,0.370000,0.464000,68.808105,100.000000,0.300000
1774765148447,7.056000,prefill,0.085821,0.377558,0.463379,10.985121,2.178649,13.163770,0.293000,1.287000,1.579000,68.808105,100.000000,0.400000
