req_id,prompt_tokens,context_tokens,generated_tokens,prefill_time_ms,prefill_time_std_ms,decode_time_ms,decode_time_std_ms,kv_bytes_per_token,prefill_kv_bytes,decode_required_kv_bytes,chunk_size_tokens,chunked_prefill_kv_bytes,chunked_decode_kv_bytes
p2048_g128,2048,2048,128,598.416667,104.227682,1713.250000,87.621463,147456,301989888,301989888,256,301989888,301989888
p2048_g256,2048,2048,256,598.416667,104.227682,3236.083333,90.616829,147456,301989888,301989888,256,301989888,301989888
p2048_g512,2048,2048,512,598.416667,104.227682,6431.750000,166.969121,147456,301989888,301989888,256,301989888,301989888
p4096_g128,4096,4096,128,1180.416667,226.661075,1945.083333,16.600494,147456,603979776,603979776,256,603979776,603979776
p4096_g256,4096,4096,256,1180.416667,226.661075,3591.833333,150.554438,147456,603979776,603979776,256,603979776,603979776
p4096_g512,4096,4096,512,1180.416667,226.661075,7183.666667,358.699813,147456,603979776,603979776,256,603979776,603979776
p8192_g128,8192,8192,128,2660.333333,440.524372,2556.916667,30.291523,147456,1207959552,1207959552,256,1207959552,1207959552
p8192_g256,8192,8192,256,2660.333333,440.524372,4417.833333,365.676732,147456,1207959552,1207959552,256,1207959552,1207959552
p8192_g512,8192,8192,512,2660.333333,440.524372,8892.166667,861.064151,147456,1207959552,1207959552,256,1207959552,1207959552
p16384_g128,16384,16384,128,6313.083333,1006.955929,4039.833333,71.359224,147456,2415919104,2415919104,256,2415919104,2415919104
p16384_g256,16384,16384,256,6313.083333,1006.955929,6203.916667,453.769299,147456,2415919104,2415919104,256,2415919104,2415919104
p16384_g512,16384,16384,512,6313.083333,1006.955929,12491.833333,1047.809925,147456,2415919104,2415919104,256,2415919104,2415919104
p24576_g128,24576,24576,128,11287.000000,1289.566529,5895.500000,86.698231,147456,3623878656,3623878656,256,3623878656,3623878656
p24576_g256,24576,24576,256,11287.000000,1289.566529,8277.916667,277.667805,147456,3623878656,3623878656,256,3623878656,3623878656
p24576_g512,24576,24576,512,11287.000000,1289.566529,16571.166667,608.200602,147456,3623878656,3623878656,256,3623878656,3623878656
p28672_g128,28672,28672,128,14546.000000,755.968804,6987.000000,44.682211,147456,4227858432,4227858432,256,4227858432,4227858432
p28672_g256,28672,28672,256,14546.000000,755.968804,9060.416667,1170.011215,147456,4227858432,4227858432,256,4227858432,4227858432
p28672_g512,28672,28672,512,14546.000000,755.968804,17512.416667,2906.796761,147456,4227858432,4227858432,256,4227858432,4227858432
